"Status","Year","Ethnicity","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Barnet","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Buckinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Camden and City of London","30","25","[c]","[c]"
"In post","2022","Asian","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Croydon","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Hackney and Newham","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
