"Status","Year","Function_of_post","Organisation","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Inner London - West","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Devon","5","5","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Dorset and Somerset","125","120","34110","29990"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East Anglia","325","310","34700","30220"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","North Yorkshire","5","5","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","East Wales","20","20","36720","36150"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Department for Business, Energy and Industrial Strategy","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Competition and Markets Authority","Inner London - East","130","125","62170","56360"
"In post","2022","Analysis","Defence Electronics and Components Agency","Ministry of Defence","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","120","115","38600","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Hampshire and Isle of Wight","385","365","41800","42020"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Greater Manchester","10","10","33120","27470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Inner London - West","235","230","43170","37250"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Greater Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Inner London - West","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Derbyshire and Nottinghamshire","10","10","41670","41990"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","37340","39240"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Greater Manchester","25","25","38800","37590"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Inner London - West","65","65","49200","46030"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","South Yorkshire","60","55","45780","49860"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","Tees Valley and Durham","10","10","42030","42580"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","West Midlands","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Department for Education","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Inner London - West","250","250","44110","40270"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Department for International Trade","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Inner London - West","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","West Midlands","20","15","35990","30190"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","Inner London - West","320","310","48130","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","Surrey, East and West Sussex","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Department for Transport","West Yorkshire","10","10","38020","38650"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Greater Manchester","40","40","32870","31990"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Inner London - West","250","240","46070","40270"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Northumberland, and Tyne and Wear","105","100","39930","36320"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","South Yorkshire","150","140","45340","40610"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","West Yorkshire","75","70","37540","35450"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Inner London - West","310","300","52370","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
