"Status","Year","Age","Organisation","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
