"Status","Year","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","10","5","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","15","15","45090","41210"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","Outside London","15","10","37130","34290"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","1195","1150","39760","37400"
"In post","2022","Commercial","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","15","10","35860","36970"
"In post","2022","Commercial","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","80","75","36670","33240"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","40","40","36360","31990"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","Outside London","80","75","37760","36780"
"In post","2022","Commercial","Buckinghamshire","Outside London","60","60","37220","36800"
"In post","2022","Commercial","Calderdale and Kirklees","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","Outside London","50","50","35220","34610"
"In post","2022","Commercial","Camden and City of London","London","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","Outside London","45","40","41130","36580"
"In post","2022","Commercial","Central Bedfordshire","Outside London","5","5","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","Outside London","140","135","34780","34500"
"In post","2022","Commercial","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
