"Status","Year","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","75","70","33710","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Unknown","30","25","28310","23230"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","725","665","34270","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","55","55","30420","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","110","105","34660","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","140","135","28150","24250"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","2100","2000","30410","27960"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","160","155","27160","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","345","325","33510","30230"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","305","280","29870","25840"
"In post","2022","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Unknown","30","30","55230","51900"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","4680","4550","47770","40600"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","515","510","44510","40600"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","530","515","48080","42440"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","4210","4170","46840","34550"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","240","230","34540","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","35","35","34720","32770"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","355","335","34100","30220"
"In post","2022","Charity Commission","Charity Commission","Heterosexual / straight","245","230","34960","29160"
"In post","2022","Charity Commission","Charity Commission","LGBO","20","20","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Undeclared","15","10","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","Unknown","190","180","32890","29160"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","810","755","31940","27460"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","40","40","29870","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","90","85","31380","25100"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","230","210","27670","22740"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","700","675","60890","56630"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","LGBO","60","60","59140","56110"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Undeclared","70","65","63140","60850"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Unknown","30","30","70220","62980"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Heterosexual / straight","195","180","28320","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","LGBO","15","15","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Undeclared","25","25","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","80","75","25900","25120"
"In post","2022","Crown Commercial Service","Cabinet Office","Heterosexual / straight","600","585","40520","38980"
"In post","2022","Crown Commercial Service","Cabinet Office","LGBO","40","40","37810","38650"
"In post","2022","Crown Commercial Service","Cabinet Office","Undeclared","30","30","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Unknown","140","135","38770","38330"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Heterosexual / straight","2015","1895","36260","31230"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","LGBO","115","110","33170","27580"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","115","105","40300","36130"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","105","100","45080","42570"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Heterosexual / straight","5145","4830","40990","38000"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","LGBO","285","275","39010","30110"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Undeclared","225","215","39710","33120"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Unknown","1385","1245","43680","48080"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","150","145","29710","28150"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","275","265","29600","29470"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Heterosexual / straight","8570","8265","36860","34000"
"In post","2022","Defence Equipment and Support","Ministry of Defence","LGBO","290","285","33190","31390"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Undeclared","1165","1120","38890","37840"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Unknown","715","690","33690","31730"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","960","930","41720","39500"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","110","110","35300","29230"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","70","70","41890","42010"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","3510","3375","41070","38110"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","4460","4355","49110","49080"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","515","510","46880","41500"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","555","540","50650","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","485","475","46230","40050"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1490","1465","47390","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","LGBO","215","215","45920","51400"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Undeclared","145","145","44510","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","160","155","46680","49300"
"In post","2022","Department for Education (excl. agencies)","Department for Education","Heterosexual / straight","4625","4445","44220","40360"
"In post","2022","Department for Education (excl. agencies)","Department for Education","LGBO","400","390","43670","40230"
"In post","2022","Department for Education (excl. agencies)","Department for Education","Undeclared","465","450","44570","40780"
"In post","2022","Department for Education (excl. agencies)","Department for Education","Unknown","815","790","44040","40230"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","4635","4470","42280","38560"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","430","420","41770","37270"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Undeclared","465","450","40830","36970"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","965","925","41530","37720"
"In post","2022","Department for International Trade","Department for International Trade","Heterosexual / straight","1740","1715","47330","44030"
"In post","2022","Department for International Trade","Department for International Trade","LGBO","200","200","45830","40600"
"In post","2022","Department for International Trade","Department for International Trade","Undeclared","150","145","46560","44030"
"In post","2022","Department for International Trade","Department for International Trade","Unknown","790","790","45180","39440"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Heterosexual / straight","2425","2360","45880","41560"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","LGBO","300","300","44010","39600"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Undeclared","225","220","45570","41980"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Unknown","360","350","45910","40050"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","2435","2370","49590","46620"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","LGBO","255","255","47650","44030"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","Undeclared","300","285","50560","46710"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","Unknown","680","660","43890","42470"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","62195","56230","28320","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","3905","3735","28180","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","7405","6590","27530","27570"
