"Status","Year","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","AA/AO","Female","20","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","EO","Male","15","15","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","AA/AO","Female","40","35","21190","21100"
"In post","2022","Advisory, Conciliation and Arbitration Service","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","Female","190","175","25100","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","Male","130","125","25010","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6/G7","Female","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6/G7","Male","30","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","Female","345","320","35010","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","Male","250","235","36750","34500"
"In post","2022","Animal and Plant Health Agency","AA/AO","Female","570","520","22020","21300"
"In post","2022","Animal and Plant Health Agency","AA/AO","Male","295","285","22210","21300"
"In post","2022","Animal and Plant Health Agency","EO","Female","485","460","26260","25320"
"In post","2022","Animal and Plant Health Agency","EO","Male","340","325","26540","25730"
"In post","2022","Animal and Plant Health Agency","G6/G7","Female","115","110","53810","52740"
"In post","2022","Animal and Plant Health Agency","G6/G7","Male","120","115","55500","54310"
"In post","2022","Animal and Plant Health Agency","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","Female","550","520","35140","35900"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","Male","430","415","35700","35900"
"In post","2022","Attorney General's Office","EO","Female","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","Female","15","10","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","Female","275","245","21790","21050"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","Male","190","185","21940","21170"
"In post","2022","Cabinet Office (excl. agencies)","EO","Female","555","530","26650","27500"
"In post","2022","Cabinet Office (excl. agencies)","EO","Male","360","355","26730","27500"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","Female","1830","1785","59620","56340"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","Male","1820","1810","60810","57920"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","Female","310","300","94250","85060"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","Male","420","420","105120","95050"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","Female","2365","2325","33700","33000"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","Male","1800","1790","33970","33300"
