"Status","Year","Disability","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scottish Government","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","120","110","32500","30950"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","60","60","32430","30950"
"In post","2022","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","245","230","27660","24920"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","155","145","30780","27290"
"In post","2022","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Female","455","435","42630","38580"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Male","350","345","46120","40250"
"In post","2022","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","25","20","[c]","[c]"
