"Status","Year","Organisation","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","Heterosexual / straight","75","70","33740","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","Unknown","30","25","28310","23230"
"In post","2022","Accountant in Bankruptcy","Scotland","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scotland","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","55","50","29720","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","30","30","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Heterosexual / straight","30","30","35040","34260"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Heterosexual / straight","135","130","44300","39240"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Undeclared","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","Unknown","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","Heterosexual / straight","100","90","30170","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","Undeclared","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","Unknown","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","LGBO","[c]","[c]","[c]","[c]"
