"Status","Year","Disability","Ethnicity","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Bedford","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","45","40","36500","30750"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Luton","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","35","35","30490","29290"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Derby","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Nottingham","65","60","31490","31150"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Dorset","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Peterborough","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Cardiff and Vale of Glamorgan","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Monmouthshire and Newport","10","10","[c]","[c]"
