"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","715","675","41570","38000"
"In post","2022","Declared disabled","Commercial","455","440","39480","37300"
"In post","2022","Declared disabled","Communications","605","580","34810","33080"
"In post","2022","Declared disabled","Counter Fraud","1980","1785","31070","27570"
"In post","2022","Declared disabled","Debt","815","695","23410","21260"
"In post","2022","Declared disabled","Digital, Data & Technology","2005","1925","39100","35310"
"In post","2022","Declared disabled","Finance","1140","1055","37610","33370"
"In post","2022","Declared disabled","Grants Management","180","165","25390","21300"
"In post","2022","Declared disabled","Human Resources","1600","1515","38120","33520"
"In post","2022","Declared disabled","Internal Audit","90","90","44610","40580"
"In post","2022","Declared disabled","Legal","1220","1125","44310","41920"
"In post","2022","Declared disabled","No function","32960","29835","29980","27570"
"In post","2022","Declared disabled","Project Delivery","2615","2485","39750","37310"
"In post","2022","Declared disabled","Property","780","740","36700","33300"
"In post","2022","Declared disabled","Security","860","835","33120","31930"
"In post","2022","Declared disabled","Unknown","6590","6205","33650","29080"
"In post","2022","Declared non-disabled","Analysis","5680","5470","44310","39490"
"In post","2022","Declared non-disabled","Commercial","3505","3390","43650","38980"
"In post","2022","Declared non-disabled","Communications","5010","4835","36740","33080"
"In post","2022","Declared non-disabled","Counter Fraud","11360","10490","32530","29290"
"In post","2022","Declared non-disabled","Debt","4255","3750","23970","21260"
"In post","2022","Declared non-disabled","Digital, Data & Technology","14665","14220","41760","38550"
"In post","2022","Declared non-disabled","Finance","8450","8010","40010","36480"
"In post","2022","Declared non-disabled","Grants Management","2095","1925","25100","21300"
"In post","2022","Declared non-disabled","Human Resources","7860","7440","38190","33370"
"In post","2022","Declared non-disabled","Internal Audit","565","535","46270","43430"
"In post","2022","Declared non-disabled","Legal","8495","7910","47690","50500"
"In post","2022","Declared non-disabled","No function","177605","164220","32160","27570"
"In post","2022","Declared non-disabled","Project Delivery","18755","18030","42330","40000"
"In post","2022","Declared non-disabled","Property","6280","6005","37870","33370"
"In post","2022","Declared non-disabled","Security","6710","6550","32850","30810"
"In post","2022","Declared non-disabled","Unknown","53405","50455","34910","30020"
"In post","2022","Undeclared","Analysis","275","265","44420","40350"
"In post","2022","Undeclared","Commercial","270","265","43000","40000"
"In post","2022","Undeclared","Communications","315","310","35820","33080"
"In post","2022","Undeclared","Counter Fraud","955","885","34280","31990"
"In post","2022","Undeclared","Debt","325","285","23570","21260"
"In post","2022","Undeclared","Digital, Data & Technology","1195","1170","40460","37220"
"In post","2022","Undeclared","Finance","630","600","39440","35310"
"In post","2022","Undeclared","Grants Management","45","45","28650","25190"
"In post","2022","Undeclared","Human Resources","620","585","36630","33300"
"In post","2022","Undeclared","Internal Audit","60","60","49660","49370"
"In post","2022","Undeclared","Legal","315","295","51510","53490"
"In post","2022","Undeclared","No function","16070","14830","31750","29060"
"In post","2022","Undeclared","Project Delivery","1390","1330","41720","40180"
"In post","2022","Undeclared","Property","650","620","37610","33630"
"In post","2022","Undeclared","Security","870","850","35060","35200"
"In post","2022","Undeclared","Unknown","3510","3315","33410","29370"
"In post","2022","Unknown","Analysis","1785","1730","41970","38160"
"In post","2022","Unknown","Commercial","2385","2335","55010","53320"
"In post","2022","Unknown","Communications","2610","2540","35050","28990"
"In post","2022","Unknown","Counter Fraud","2725","2590","32960","31020"
"In post","2022","Unknown","Debt","1425","1315","23510","21250"
"In post","2022","Unknown","Digital, Data & Technology","4190","4120","41610","38250"
"In post","2022","Unknown","Finance","2160","2065","37600","33370"
"In post","2022","Unknown","Human Resources","1640","1570","35330","32000"
"In post","2022","Unknown","Internal Audit","50","50","44330","40760"
"In post","2022","Unknown","Legal","2375","2240","44000","43920"
"In post","2022","Unknown","No function","47890","45165","32260","28010"
"In post","2022","Unknown","Project Delivery","3800","3670","43170","40470"
"In post","2022","Unknown","Property","1835","1780","32460","28500"
"In post","2022","Unknown","Security","2250","2205","32130","29130"
"In post","2022","Unknown","Unknown","16155","15620","35880","31220"
"Leaver CS","2022","Declared disabled","Analysis","40","[c]","38080","32530"
"Leaver CS","2022","Declared disabled","Commercial","35","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","55","[c]","26840","27570"
"Leaver CS","2022","Declared disabled","Debt","35","[c]","22080","21260"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","115","[c]","39330","35740"
"Leaver CS","2022","Declared disabled","Finance","45","[c]","37450","33320"
"Leaver CS","2022","Declared disabled","Grants Management","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","90","[c]","34180","29160"
"Leaver CS","2022","Declared disabled","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","70","[c]","46110","50230"
"Leaver CS","2022","Declared disabled","No function","2680","[c]","28620","27570"
"Leaver CS","2022","Declared disabled","Project Delivery","125","[c]","38560","34690"
"Leaver CS","2022","Declared disabled","Property","45","[c]","30720","26790"
"Leaver CS","2022","Declared disabled","Security","65","[c]","32430","30950"
