"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","EO","15","15","26620","26480"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","25","25","56750","53430"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","40","40","37430","37590"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","10","10","39210","38150"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","SEO/HEO","10","10","39100","38550"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","EO","20","15","26640","26350"
"In post","2022","Commercial","East of England","East Anglia","G6/G7","15","15","59640","51750"
"In post","2022","Commercial","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","SEO/HEO","140","135","37060","37280"
"In post","2022","Commercial","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","EO","15","15","28630","27860"
"In post","2022","Commercial","London","Inner London - East","G6/G7","30","30","59850","59160"
"In post","2022","Commercial","London","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","SEO/HEO","55","50","42000","41750"
"In post","2022","Commercial","London","Inner London - West","AA/AO","25","20","23560","23250"
"In post","2022","Commercial","London","Inner London - West","EO","75","70","28950","28360"
"In post","2022","Commercial","London","Inner London - West","G6/G7","275","265","60720","55850"
"In post","2022","Commercial","London","Inner London - West","SCS level","50","45","84010","78400"
"In post","2022","Commercial","London","Inner London - West","SEO/HEO","390","385","39500","40650"
"In post","2022","Commercial","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","AA/AO","10","10","26390","27060"
"In post","2022","Commercial","London","Outer London - South","EO","20","20","29930","30110"
"In post","2022","Commercial","London","Outer London - South","G6/G7","15","15","68810","68240"
"In post","2022","Commercial","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","SEO/HEO","65","65","43120","43040"
"In post","2022","Commercial","London","Outer London - West and North West","AA/AO","20","20","21980","21660"
"In post","2022","Commercial","London","Outer London - West and North West","EO","10","10","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","G6/G7","15","15","59710","55910"
"In post","2022","Commercial","London","Outer London - West and North West","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","SEO/HEO","20","15","36390","34940"
"In post","2022","Commercial","London","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","EO","15","10","27200","27570"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","G6/G7","10","10","57080","50380"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","SEO/HEO","60","60","35880","36500"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","EO","15","10","25570","25000"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","G6/G7","20","20","53600","50130"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","SEO/HEO","60","60","35820","36500"
"In post","2022","Commercial","North West (England)","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire","SEO/HEO","20","15","37210","38610"
"In post","2022","Commercial","North West (England)","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cumbria","Unknown","15","15","41220","38240"
"In post","2022","Commercial","North West (England)","Greater Manchester","AA/AO","10","10","21760","21890"
"In post","2022","Commercial","North West (England)","Greater Manchester","EO","30","30","26500","26590"
"In post","2022","Commercial","North West (England)","Greater Manchester","G6/G7","50","45","56420","52050"
"In post","2022","Commercial","North West (England)","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester","SEO/HEO","145","140","36970","36500"
"In post","2022","Commercial","North West (England)","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Lancashire","EO","15","15","26970","27570"
"In post","2022","Commercial","North West (England)","Lancashire","G6/G7","10","10","56000","49170"
"In post","2022","Commercial","North West (England)","Lancashire","SEO/HEO","35","35","35370","32400"
"In post","2022","Commercial","North West (England)","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Merseyside","AA/AO","25","20","21200","21260"
"In post","2022","Commercial","North West (England)","Merseyside","EO","50","45","26090","25950"
"In post","2022","Commercial","North West (England)","Merseyside","G6/G7","30","25","53500","52300"
"In post","2022","Commercial","North West (England)","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","Merseyside","SEO/HEO","175","170","35800","36820"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","G6/G7","10","10","66840","60720"
"In post","2022","Commercial","Overseas","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","SEO/HEO","25","25","42030","41650"
"In post","2022","Commercial","Scotland","Eastern Scotland","AA/AO","40","35","24050","23550"
"In post","2022","Commercial","Scotland","Eastern Scotland","EO","15","15","29620","29550"
"In post","2022","Commercial","Scotland","Eastern Scotland","G6/G7","15","10","57840","54240"
"In post","2022","Commercial","Scotland","Eastern Scotland","SEO/HEO","30","30","40120","40290"
"In post","2022","Commercial","Scotland","Eastern Scotland","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Highlands and Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Highlands and Islands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","North Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","North Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","Southern Scotland","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","Southern Scotland","G6/G7","15","15","50860","51960"
"In post","2022","Commercial","Scotland","Southern Scotland","SEO/HEO","25","25","38550","39190"
"In post","2022","Commercial","Scotland","West Central Scotland","AA/AO","15","15","25450","26900"
"In post","2022","Commercial","Scotland","West Central Scotland","EO","30","30","27240","26670"
"In post","2022","Commercial","Scotland","West Central Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scotland","West Central Scotland","SEO/HEO","75","75","36900","34800"
"In post","2022","Commercial","Scotland","West Central Scotland","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","10","10","22020","21660"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","30","30","26520","26230"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","25","25","62310","60320"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","110","105","38420","39350"
"In post","2022","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","EO","65","60","26140","26350"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","G6/G7","15","15","58990","59620"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Hampshire and Isle of Wight","SEO/HEO","155","150","37740","38240"
"In post","2022","Commercial","South East (England)","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Kent","SEO/HEO","10","10","39400","37460"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","South East (England)","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
