"Status","Year","Age","Parent_department","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Inner London - West","London","15","15","23530","23450"
"In post","2022","16-19","Attorney General's Departments","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Inner London - West","London","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Chancellor's other departments","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Devon","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","Greater Manchester","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Inner London - West","London","15","15","25110","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","Outside London","5","5","[c]","[c]"
