"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","G7","20","20","[c]","[c]"
