"Status","Year","Parent_department","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Stoke-on-Trent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Westminster","London","10","10","38800","34500"
"In post","2022","Attorney General's Departments","Commercial","Wiltshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","York","Outside London","15","15","37910","34390"
"In post","2022","Attorney General's Departments","Communications","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Wakefield","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Westminster","London","65","65","42220","39750"
"In post","2022","Attorney General's Departments","Communications","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Westminster","London","10","10","46840","39290"
"In post","2022","Attorney General's Departments","Counter Fraud","Westminster","London","245","240","46670","40270"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","East Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Flintshire and Wrexham","Outside London","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Gloucestershire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Hertfordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Kingston upon Hull, City of","Outside London","[c]","[c]","[c]","[c]"
