"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Angus and Dundee City","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barking & Dagenham and Havering","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","EO","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","150","145","24170","24000"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","70","65","69800","68320"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","140","135","52960","53500"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","20","15","105120","103620"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","340","330","31330","32890"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","340","325","40170","40580"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","130","125","40540","37500"
"In post","2022","Commercial","Bedford","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedford","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Belfast","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bexley and Greenwich","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","EO","EO","15","15","26720","25520"
"In post","2022","Commercial","Birmingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Birmingham","SEO/HEO","HEO","20","20","32180","31990"
"In post","2022","Commercial","Birmingham","SEO/HEO","SEO","20","20","40470","38600"
"In post","2022","Commercial","Birmingham","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Blackburn with Darwen","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","EO","EO","10","10","27570","27570"
"In post","2022","Commercial","Blackpool","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Blackpool","SEO/HEO","HEO","15","10","32220","31990"
"In post","2022","Commercial","Blackpool","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bournemouth, Christchurch and Poole","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bradford","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Breckland and South Norfolk","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brent","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bridgend and Neath Port Talbot","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Brighton and Hove","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","EO","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Commercial","Bristol, City of","SEO/HEO","HEO","20","15","31330","31040"
"In post","2022","Commercial","Bristol, City of","SEO/HEO","SEO","35","35","39430","39280"
"In post","2022","Commercial","Bristol, City of","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","EO","EO","10","10","26700","25970"
"In post","2022","Commercial","Buckinghamshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Buckinghamshire","SEO/HEO","HEO","15","15","35140","35000"
"In post","2022","Commercial","Buckinghamshire","SEO/HEO","SEO","25","25","42310","42080"
"In post","2022","Commercial","Calderdale and Kirklees","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","EO","EO","10","10","26520","26670"
"In post","2022","Commercial","Cambridgeshire CC","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cambridgeshire CC","SEO/HEO","HEO","20","20","33840","33300"
"In post","2022","Commercial","Cambridgeshire CC","SEO/HEO","SEO","15","15","42280","42080"
"In post","2022","Commercial","Camden and City of London","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Camden and City of London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","EO","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","15","15","33020","31990"
"In post","2022","Commercial","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Bedfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","EO","EO","40","40","25990","26350"
"In post","2022","Commercial","Central Hampshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Hampshire","SEO/HEO","HEO","40","40","33720","33770"
"In post","2022","Commercial","Central Hampshire","SEO/HEO","SEO","50","50","41100","41500"
"In post","2022","Commercial","Central Valleys","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Central Valleys","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire East","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire West and Chester","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Chorley and West Lancashire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","AA/AO","AO","10","5","[c]","[c]"
"In post","2022","Commercial","City of Edinburgh","EO","EO","10","10","29620","29550"
"In post","2022","Commercial","City of Edinburgh","G6/G7","G6","[c]","[c]","[c]","[c]"
