"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","AO","10","10","21600","21260"
"In post","2022","16-19","Analysis","EO","25","25","25860","26250"
"In post","2022","16-19","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AO","15","15","22520","21250"
"In post","2022","16-19","Communications","EO","10","10","[c]","[c]"
"In post","2022","16-19","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AO","15","15","22290","21260"
"In post","2022","16-19","Counter Fraud","EO","10","10","[c]","[c]"
"In post","2022","16-19","Debt","AO","45","45","21250","21250"
"In post","2022","16-19","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA","10","10","18240","19380"
"In post","2022","16-19","Digital, Data & Technology","AO","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","10","10","26830","26890"
"In post","2022","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AO","10","10","21310","21250"
"In post","2022","16-19","Finance","EO","20","20","20840","19460"
"In post","2022","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","AO","10","10","20720","21300"
"In post","2022","16-19","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","AO","10","10","21860","21190"
"In post","2022","16-19","Human Resources","EO","5","5","[c]","[c]"
"In post","2022","16-19","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","AO","35","35","21580","22200"
"In post","2022","16-19","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","AA","165","145","19360","18830"
"In post","2022","16-19","No function","AO","430","420","22250","21260"
"In post","2022","16-19","No function","EO","80","80","26120","25520"
"In post","2022","16-19","No function","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","AO","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","EO","90","90","18470","18030"
"In post","2022","16-19","Project Delivery","Unknown","15","15","18160","17140"
"In post","2022","16-19","Property","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","EO","15","15","26130","26030"
"In post","2022","16-19","Property","Unknown","15","15","19130","16630"
"In post","2022","16-19","Security","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","EO","5","5","[c]","[c]"
"In post","2022","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA","50","45","21140","21050"
"In post","2022","16-19","Unknown","AO","55","55","22290","21680"
"In post","2022","16-19","Unknown","EO","25","25","26210","24880"
"In post","2022","16-19","Unknown","Unknown","35","35","18130","16720"
"In post","2022","20-29","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","AO","165","160","21880","21260"
"In post","2022","20-29","Analysis","EO","405","405","27050","27270"
"In post","2022","20-29","Analysis","G6","20","20","64250","64510"
"In post","2022","20-29","Analysis","G7","395","395","54500","53510"
"In post","2022","20-29","Analysis","HEO","1505","1500","33210","33080"
"In post","2022","20-29","Analysis","SEO","510","510","40220","40180"
"In post","2022","20-29","Commercial","AA","10","5","[c]","[c]"
"In post","2022","20-29","Commercial","AO","65","65","21960","21840"
"In post","2022","20-29","Commercial","EO","285","285","26260","26350"
"In post","2022","20-29","Commercial","G6","25","25","67720","65440"
"In post","2022","20-29","Commercial","G7","135","135","55740","54130"
"In post","2022","20-29","Commercial","HEO","330","330","32390","33000"
"In post","2022","20-29","Commercial","SEO","225","225","39770","40520"
"In post","2022","20-29","Commercial","Unknown","30","30","27520","27000"
"In post","2022","20-29","Communications","AA","5","5","[c]","[c]"
"In post","2022","20-29","Communications","AO","115","110","21910","21250"
"In post","2022","20-29","Communications","EO","1200","1190","26830","26820"
"In post","2022","20-29","Communications","G6","15","15","65520","66230"
"In post","2022","20-29","Communications","G7","90","90","54100","53360"
"In post","2022","20-29","Communications","HEO","590","590","33730","33370"
"In post","2022","20-29","Communications","SEO","210","210","41140","40600"
"In post","2022","20-29","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AO","375","370","22210","21260"
"In post","2022","20-29","Counter Fraud","EO","1125","1110","27800","26820"
"In post","2022","20-29","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","G7","65","65","55790","55210"
"In post","2022","20-29","Counter Fraud","HEO","380","375","33910","33100"
"In post","2022","20-29","Counter Fraud","SEO","90","90","40310","40180"
"In post","2022","20-29","Debt","AO","1115","1075","21390","21250"
"In post","2022","20-29","Debt","EO","150","145","26610","26820"
"In post","2022","20-29","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Debt","HEO","20","20","32380","33080"
"In post","2022","20-29","Debt","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","AA","55","55","19370","17900"
"In post","2022","20-29","Digital, Data & Technology","AO","200","200","21670","21250"
"In post","2022","20-29","Digital, Data & Technology","EO","975","965","26980","26820"
"In post","2022","20-29","Digital, Data & Technology","G6","20","20","64240","64500"
"In post","2022","20-29","Digital, Data & Technology","G7","295","290","53690","53760"
"In post","2022","20-29","Digital, Data & Technology","HEO","1070","1065","32840","33080"
"In post","2022","20-29","Digital, Data & Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Digital, Data & Technology","SEO","610","605","40070","40180"
"In post","2022","20-29","Digital, Data & Technology","Unknown","10","10","28750","28050"
"In post","2022","20-29","Finance","AA","5","5","[c]","[c]"
"In post","2022","20-29","Finance","AO","265","245","21620","21250"
"In post","2022","20-29","Finance","EO","500","495","25640","26180"
"In post","2022","20-29","Finance","G6","20","20","64770","65440"
"In post","2022","20-29","Finance","G7","165","165","54070","53420"
"In post","2022","20-29","Finance","HEO","495","490","32780","32790"
"In post","2022","20-29","Finance","SEO","300","300","39920","40520"
"In post","2022","20-29","Finance","Unknown","15","15","29380","31010"
"In post","2022","20-29","Grants Management","AO","290","285","21250","21300"
"In post","2022","20-29","Grants Management","EO","70","70","24860","24920"
"In post","2022","20-29","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","HEO","10","10","29270","29180"
"In post","2022","20-29","Grants Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","AA","25","25","19570","19810"
"In post","2022","20-29","Human Resources","AO","285","280","21630","21170"
"In post","2022","20-29","Human Resources","EO","510","505","26610","26820"
"In post","2022","20-29","Human Resources","G6","15","15","65220","65010"
"In post","2022","20-29","Human Resources","G7","125","125","53870","53440"
"In post","2022","20-29","Human Resources","HEO","540","540","32000","32000"
"In post","2022","20-29","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO","155","155","39610","40180"
"In post","2022","20-29","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","10","10","[c]","[c]"
"In post","2022","20-29","Internal Audit","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","HEO","30","30","33450","33420"
"In post","2022","20-29","Internal Audit","SEO","10","10","41990","40180"
"In post","2022","20-29","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","AO","485","475","22520","22200"
"In post","2022","20-29","Legal","EO","600","595","27420","26970"
"In post","2022","20-29","Legal","G6","5","5","[c]","[c]"
