"Status","Year","Age","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Commercial","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","London","Westminster","10","10","[c]","[c]"
"In post","2022","16-19","Communications","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","London","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South East (England)","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South East (England)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Devon CC","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Plymouth","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Wales","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","West Midlands (England)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data and Technology","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Economics","London","Tower Hamlets","[c]","[c]","[c]","[c]"
