"Status","Year","Parent_department","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Barnsley, Doncaster and Rotherham","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G7","20","15","53170","52660"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","AO","25","25","23860","23770"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","EO","25","25","28230","27050"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","G7","50","45","58450","55880"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","HEO","20","20","35910","35020"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bexley and Greenwich","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","AO","100","90","22280","22200"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","EO","100","95","26950","26160"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","G6","20","20","73520","70000"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","G7","215","200","53300","53350"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","HEO","55","50","33250","32050"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Birmingham","Outside London","SEO","15","10","38330","38180"
"In post","2022","Attorney General's Departments","Blackburn with Darwen","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bradford","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","AO","30","25","23700","23770"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","EO","35","30","28180","27760"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","G7","45","40","58650","60710"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","HEO","10","10","35770","36240"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Brighton and Hove","Outside London","SEO","[c]","[c]","[c]","[c]"
