"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AO","Heterosexual / straight","145","130","23000","23770"
"In post","2022","Asian","Attorney General's Departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AO","Unknown","35","30","23000","23770"
"In post","2022","Asian","Attorney General's Departments","EO","Heterosexual / straight","180","170","27740","27050"
"In post","2022","Asian","Attorney General's Departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6","Heterosexual / straight","70","65","66840","65630"
"In post","2022","Asian","Attorney General's Departments","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G7","Heterosexual / straight","360","340","54280","53050"
"In post","2022","Asian","Attorney General's Departments","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G7","Unknown","45","35","55850","54200"
"In post","2022","Asian","Attorney General's Departments","HEO","Heterosexual / straight","95","90","35770","35010"
"In post","2022","Asian","Attorney General's Departments","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO","Heterosexual / straight","30","30","40080","39750"
"In post","2022","Asian","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA","LGBO","[c]","[c]","[c]","[c]"
