"Status","Year","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","AA/AO","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","G6/G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","SEO/HEO","35","35","37500","36130"
"In post","2022","Advisory, Conciliation and Arbitration Service","AA/AO","50","40","21180","21100"
"In post","2022","Advisory, Conciliation and Arbitration Service","EO","320","300","25060","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","G6/G7","55","50","58330","55740"
"In post","2022","Advisory, Conciliation and Arbitration Service","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","SEO/HEO","595","555","35730","34500"
"In post","2022","Animal and Plant Health Agency","AA/AO","860","805","22080","21300"
"In post","2022","Animal and Plant Health Agency","EO","825","785","26370","25440"
"In post","2022","Animal and Plant Health Agency","G6/G7","235","230","54670","53940"
"In post","2022","Animal and Plant Health Agency","SCS level","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","SEO/HEO","980","935","35380","35900"
"In post","2022","Attorney General's Office","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","G6/G7","20","20","59500","61000"
"In post","2022","Attorney General's Office","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","SEO/HEO","10","10","35390","37730"
"In post","2022","Cabinet Office (excl. agencies)","AA/AO","465","435","21850","21170"
"In post","2022","Cabinet Office (excl. agencies)","EO","915","885","26680","27500"
"In post","2022","Cabinet Office (excl. agencies)","G6/G7","3655","3595","60220","56760"
"In post","2022","Cabinet Office (excl. agencies)","SCS level","730","720","100530","93000"
"In post","2022","Cabinet Office (excl. agencies)","SEO/HEO","4165","4120","33820","33250"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","45","45","21170","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","150","140","25260","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","115","110","51980","49040"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","335","320","33080","30660"
"In post","2022","Charity Commission","AA/AO","30","25","18960","19980"
"In post","2022","Charity Commission","EO","115","110","25080","24440"
"In post","2022","Charity Commission","G6/G7","70","65","54510","51070"
"In post","2022","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","250","240","32520","29370"
"In post","2022","Companies House","AA/AO","450","395","21710","22740"
"In post","2022","Companies House","EO","300","285","27410","25460"
"In post","2022","Companies House","G6/G7","90","90","57170","54920"
"In post","2022","Companies House","SCS level","5","5","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","330","315","38580","39820"
"In post","2022","Competition and Markets Authority","AA/AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","EO","70","65","28170","27920"
"In post","2022","Competition and Markets Authority","G6/G7","445","430","65830","62890"
"In post","2022","Competition and Markets Authority","SCS level","125","120","107650","99920"
"In post","2022","Competition and Markets Authority","SEO/HEO","205","200","37530","35400"
