"Status","Year","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","AA/AO","1530","1405","22720","22200"
"In post","2022","Attorney General's Departments","EO","1875","1760","27830","27580"
"In post","2022","Attorney General's Departments","G6/G7","5030","4655","58180","55610"
"In post","2022","Attorney General's Departments","SCS level","315","300","87210","82500"
"In post","2022","Attorney General's Departments","SEO/HEO","1460","1410","36280","36240"
"In post","2022","Cabinet Office","AA/AO","495","465","21810","21050"
"In post","2022","Cabinet Office","EO","1055","1020","26570","27500"
"In post","2022","Cabinet Office","G6/G7","4005","3940","59930","56720"
"In post","2022","Cabinet Office","SCS level","775","760","100190","93000"
"In post","2022","Cabinet Office","SEO/HEO","4720","4655","34050","33300"
"In post","2022","Chancellor's other departments","AA/AO","20","20","23560","24020"
"In post","2022","Chancellor's other departments","EO","40","40","28940","29210"
"In post","2022","Chancellor's other departments","G6/G7","205","195","75260","67730"
"In post","2022","Chancellor's other departments","SCS level","15","15","117330","110000"
"In post","2022","Chancellor's other departments","SEO/HEO","140","140","40940","40290"
"In post","2022","Charity Commission","AA/AO","30","25","18960","19980"
"In post","2022","Charity Commission","EO","115","110","25080","24440"
"In post","2022","Charity Commission","G6/G7","70","65","54510","51070"
"In post","2022","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","250","240","32520","29370"
"In post","2022","Competition and Markets Authority","AA/AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","EO","70","65","28170","27920"
"In post","2022","Competition and Markets Authority","G6/G7","445","430","65830","62890"
"In post","2022","Competition and Markets Authority","SCS level","125","120","107650","99920"
"In post","2022","Competition and Markets Authority","SEO/HEO","205","200","37530","35400"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA/AO","1500","1375","21580","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","1960","1870","26490","25880"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6/G7","4015","3885","57520","56380"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","400","385","88070","81390"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","6200","5990","37790","38200"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","185","185","26790","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","915","900","56230","54300"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","125","120","83590","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","775","770","35420","34020"
"In post","2022","Department for Education","AA/AO","125","120","21980","21250"
"In post","2022","Department for Education","EO","935","905","26310","25000"
"In post","2022","Department for Education","G6/G7","3250","3140","55890","53420"
"In post","2022","Department for Education","SCS level","300","285","82800","74120"
"In post","2022","Department for Education","SEO/HEO","4085","3945","35480","36500"
"In post","2022","Department for Environment, Food and Rural Affairs","AA/AO","2400","2205","21720","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","2300","2175","26130","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","G6/G7","2695","2600","54300","53040"
"In post","2022","Department for Environment, Food and Rural Affairs","SCS level","220","210","83160","77240"
"In post","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","5140","4940","34960","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","30","30","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","25","25","24980","25140"
"In post","2022","Department for International Trade","EO","275","270","27530","26510"
"In post","2022","Department for International Trade","G6/G7","1165","1150","56450","53600"
"In post","2022","Department for International Trade","SCS level","175","170","86550","76790"
"In post","2022","Department for International Trade","SEO/HEO","1245","1235","36340","38160"
"In post","2022","Department for Levelling Up, Housing and Communities","AA/AO","215","200","22570","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","EO","440","425","27640","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","G6/G7","1735","1660","56430","53820"
"In post","2022","Department for Levelling Up, Housing and Communities","SCS level","185","175","86020","77320"
"In post","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","1575","1540","35960","35780"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","AA/AO","5720","4985","22010","21840"
"In post","2022","Department for Transport","EO","4265","4015","27850","26780"
"In post","2022","Department for Transport","G6/G7","2050","2000","59990","55320"
"In post","2022","Department for Transport","SCS level","255","245","88160","79910"
"In post","2022","Department for Transport","SEO/HEO","4100","4000","37640","36180"
"In post","2022","Department for Work and Pensions","AA/AO","29325","25285","21410","21260"
"In post","2022","Department for Work and Pensions","EO","48390","43760","28110","27570"
"In post","2022","Department for Work and Pensions","G6/G7","4095","3945","57340","54070"
"In post","2022","Department for Work and Pensions","SCS level","300","295","87970","80000"
"In post","2022","Department for Work and Pensions","SEO/HEO","12045","11370","36080","34340"
"In post","2022","Department of Health and Social Care","AA/AO","825","720","21640","21820"
"In post","2022","Department of Health and Social Care","EO","1555","1470","26510","26910"
"In post","2022","Department of Health and Social Care","G6/G7","3835","3690","58100","53860"
"In post","2022","Department of Health and Social Care","SCS level","815","765","96460","92470"
"In post","2022","Department of Health and Social Care","SEO/HEO","4775","4555","36240","36330"
"In post","2022","Estyn","AA/AO","10","10","24460","24630"
"In post","2022","Estyn","EO","25","20","28700","29430"
"In post","2022","Estyn","G6/G7","70","65","73860","75480"
"In post","2022","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Food Standards Agency","AA/AO","10","10","20100","19590"
"In post","2022","Food Standards Agency","EO","430","410","27170","26750"
"In post","2022","Food Standards Agency","G6/G7","260","255","55890","55300"
"In post","2022","Food Standards Agency","SCS level","25","25","87570","87400"
"In post","2022","Food Standards Agency","SEO/HEO","730","715","35720","37350"
"In post","2022","Foreign, Commonwealth and Development Office","AA/AO","520","505","25810","25000"
"In post","2022","Foreign, Commonwealth and Development Office","EO","855","830","29560","29300"
"In post","2022","Foreign, Commonwealth and Development Office","G6/G7","3230","3145","59630","58030"
"In post","2022","Foreign, Commonwealth and Development Office","SCS level","545","535","86240","77860"
"In post","2022","Foreign, Commonwealth and Development Office","SEO/HEO","3025","2975","38060","37560"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","70","70","21740","21600"
"In post","2022","HM Land Registry","AA/AO","1745","1640","22690","22600"
"In post","2022","HM Land Registry","EO","2365","2105","27470","27130"
"In post","2022","HM Land Registry","G6/G7","305","290","62080","60520"
"In post","2022","HM Land Registry","SCS level","25","25","91430","82370"
"In post","2022","HM Land Registry","SEO/HEO","2195","1980","37330","33840"
"In post","2022","HM Revenue and Customs","AA/AO","20300","17720","21710","21250"
"In post","2022","HM Revenue and Customs","EO","16760","15640","27420","26820"
"In post","2022","HM Revenue and Customs","G6/G7","8740","8440","59940","55610"
"In post","2022","HM Revenue and Customs","SCS level","515","505","85810","79420"
"In post","2022","HM Revenue and Customs","SEO/HEO","25055","24020","36550","33510"
"In post","2022","HM Treasury","AA/AO","60","60","22600","22750"
"In post","2022","HM Treasury","EO","250","240","26930","26750"
"In post","2022","HM Treasury","G6/G7","1190","1155","58730","56400"
"In post","2022","HM Treasury","SCS level","195","185","87680","78000"
"In post","2022","HM Treasury","SEO/HEO","1080","1050","36070","34090"
"In post","2022","Home Office","AA/AO","7370","6565","22200","21680"
"In post","2022","Home Office","EO","14920","13805","26920","25690"
"In post","2022","Home Office","G6/G7","3885","3805","60490","57680"
"In post","2022","Home Office","SCS level","305","300","89940","82550"
"In post","2022","Home Office","SEO/HEO","9835","9535","36440","35200"
"In post","2022","Home Office","Unknown","220","215","44210","34630"
"In post","2022","Ministry of Defence","AA/AO","15295","14685","23190","21170"
"In post","2022","Ministry of Defence","EO","10095","9750","27110","26670"
"In post","2022","Ministry of Defence","G6/G7","6775","6525","57950","56000"
"In post","2022","Ministry of Defence","SCS level","475","460","93470","87210"
"In post","2022","Ministry of Defence","SEO/HEO","21300","20655","37110","37000"
"In post","2022","Ministry of Defence","Unknown","3885","3835","39070","35600"
"In post","2022","Ministry of Justice","AA/AO","39710","36835","24910","23720"
"In post","2022","Ministry of Justice","EO","10750","10260","29130","28310"
"In post","2022","Ministry of Justice","G6/G7","3370","3290","62230","60280"
"In post","2022","Ministry of Justice","SCS level","330","325","88950","84490"
"In post","2022","Ministry of Justice","SEO/HEO","13500","12955","38940","37840"
"In post","2022","Ministry of Justice","Unknown","19240","17820","30120","28200"
"In post","2022","National Crime Agency","AA/AO","270","250","24040","24470"
"In post","2022","National Crime Agency","EO","2490","2425","34250","34140"
"In post","2022","National Crime Agency","G6/G7","385","380","65240","64410"
"In post","2022","National Crime Agency","SCS level","35","35","104320","95000"
"In post","2022","National Crime Agency","SEO/HEO","2375","2320","44470","43710"
"In post","2022","Northern Ireland Office","AA/AO","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","EO","15","15","28110","28310"
"In post","2022","Northern Ireland Office","G6/G7","50","50","56030","54850"
"In post","2022","Northern Ireland Office","SCS level","20","20","86350","75420"
"In post","2022","Northern Ireland Office","SEO/HEO","85","85","37350","36720"
"In post","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","200","180","21210","21410"
"In post","2022","Office for Standards in Education, Children's Services and Skills","EO","200","190","26330","25880"
"In post","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","625","615","72830","75500"
"In post","2022","Office for Standards in Education, Children's Services and Skills","SCS level","30","30","107550","95150"
"In post","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","770","745","43410","46360"
"In post","2022","Office of Gas and Electricity Markets","AA/AO","55","55","19980","19750"
"In post","2022","Office of Gas and Electricity Markets","EO","350","345","26070","25750"
"In post","2022","Office of Gas and Electricity Markets","G6/G7","475","465","59090","57980"
"In post","2022","Office of Gas and Electricity Markets","SCS level","55","55","98060","91110"
"In post","2022","Office of Gas and Electricity Markets","SEO/HEO","415","410","36100","35000"
"In post","2022","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","EO","25","25","23790","23250"
"In post","2022","Office of Qualifications and Examinations Regulation","G6/G7","110","105","53040","48680"
"In post","2022","Office of Qualifications and Examinations Regulation","SCS level","20","20","95740","85720"
"In post","2022","Office of Qualifications and Examinations Regulation","SEO/HEO","135","125","35970","38000"
"In post","2022","Office of Rail and Road","AA/AO","15","15","23720","23510"
"In post","2022","Office of Rail and Road","EO","25","25","29800","29510"
"In post","2022","Office of Rail and Road","G6/G7","195","185","61770","60200"
"In post","2022","Office of Rail and Road","SCS level","15","15","109940","103030"
"In post","2022","Office of Rail and Road","SEO/HEO","95","95","39970","39800"
"In post","2022","Office of the Secretary of State for Scotland","AA/AO","15","15","23170","23230"
"In post","2022","Office of the Secretary of State for Scotland","EO","15","15","28430","28310"
"In post","2022","Office of the Secretary of State for Scotland","G6/G7","45","45","60950","62170"
"In post","2022","Office of the Secretary of State for Scotland","SCS level","10","10","82560","77480"
"In post","2022","Office of the Secretary of State for Scotland","SEO/HEO","35","35","39290","38870"
"In post","2022","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","EO","10","10","27600","28310"
"In post","2022","Office of the Secretary of State for Wales","G6/G7","10","10","57990","55860"
"In post","2022","Office of the Secretary of State for Wales","SCS level","5","5","[c]","[c]"
