"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","AA","1015","945","20220","20890"
"In post","2022","East Midlands (England)","AO","6950","6315","22940","21260"
"In post","2022","East Midlands (England)","EO","6290","5815","27390","27570"
"In post","2022","East Midlands (England)","G6","390","375","69200","67910"
"In post","2022","East Midlands (England)","G7","1310","1255","54810","55210"
"In post","2022","East Midlands (England)","HEO","3395","3230","33250","33370"
"In post","2022","East Midlands (England)","SCS level","95","90","91430","87210"
"In post","2022","East Midlands (England)","SEO","2000","1920","41850","40520"
"In post","2022","East Midlands (England)","Unknown","1550","1420","29600","28200"
"In post","2022","East of England","AA","1335","1245","20510","20890"
"In post","2022","East of England","AO","6080","5580","24760","22880"
"In post","2022","East of England","EO","6960","6415","28340","27570"
"In post","2022","East of England","G6","355","345","69750","67910"
"In post","2022","East of England","G7","1115","1065","55860","54160"
"In post","2022","East of England","HEO","3240","3095","33810","33300"
"In post","2022","East of England","SCS level","130","125","96490","95070"
"In post","2022","East of England","SEO","1975","1890","42350","40580"
"In post","2022","East of England","Unknown","1735","1595","28820","26310"
"In post","2022","London","AA","1635","1505","23100","22460"
"In post","2022","London","AO","10240","9495","26540","25330"
"In post","2022","London","EO","21125","20095","30190","30470"
"In post","2022","London","G6","9085","8735","69420","67970"
"In post","2022","London","G7","20245","19655","56770","55340"
"In post","2022","London","HEO","20500","20065","35480","35050"
"In post","2022","London","SCS level","4480","4330","91150","82340"
"In post","2022","London","SEO","15090","14745","43160","42170"
"In post","2022","London","Unknown","2435","2325","34660","33700"
"In post","2022","North East (England)","AA","1060","875","20700","20920"
"In post","2022","North East (England)","AO","12145","10505","22160","21260"
"In post","2022","North East (England)","EO","8430","7695","27120","27570"
"In post","2022","North East (England)","G6","615","600","66730","66670"
"In post","2022","North East (England)","G7","2095","2035","53360","54160"
"In post","2022","North East (England)","HEO","4475","4270","32690","33080"
"In post","2022","North East (England)","SCS level","130","130","86960","78600"
"In post","2022","North East (England)","SEO","2965","2835","40000","40180"
"In post","2022","North East (England)","Unknown","1180","1115","29630","28200"
"In post","2022","North West (England)","AA","1655","1475","20130","20480"
"In post","2022","North West (England)","AO","19285","17270","22110","21260"
"In post","2022","North West (England)","EO","19075","17680","27130","27570"
"In post","2022","North West (England)","G6","1340","1305","67480","67090"
"In post","2022","North West (England)","G7","4245","4100","53930","54160"
"In post","2022","North West (England)","HEO","9195","8800","32870","33080"
"In post","2022","North West (England)","SCS level","290","285","87780","80000"
"In post","2022","North West (England)","SEO","5955","5735","40220","40180"
"In post","2022","North West (England)","Unknown","3270","3055","30070","28200"
"In post","2022","Northern Ireland","AA","480","470","20200","20560"
"In post","2022","Northern Ireland","AO","1160","1060","21760","21250"
"In post","2022","Northern Ireland","EO","1105","1050","26930","26820"
"In post","2022","Northern Ireland","G6","65","60","70010","67910"
"In post","2022","Northern Ireland","G7","240","230","54470","55210"
"In post","2022","Northern Ireland","HEO","800","780","33580","33370"
"In post","2022","Northern Ireland","SCS level","20","15","79550","75700"
"In post","2022","Northern Ireland","SEO","390","380","40240","40180"
"In post","2022","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","AO","65","65","22260","21830"
"In post","2022","Overseas","EO","285","285","27700","27130"
"In post","2022","Overseas","G6","445","445","66660","65210"
"In post","2022","Overseas","G7","865","865","55990","54560"
"In post","2022","Overseas","HEO","1065","1060","36120","34220"
"In post","2022","Overseas","SCS level","290","290","85420","76600"
"In post","2022","Overseas","SEO","460","460","46490","41950"
"In post","2022","Overseas","Unknown","200","200","40510","32790"
"In post","2022","Scotland","AA","2995","2770","21450","21050"
"In post","2022","Scotland","AO","13880","12600","23100","21280"
"In post","2022","Scotland","EO","14370","13355","28700","27570"
"In post","2022","Scotland","G6","1755","1690","71650","71550"
"In post","2022","Scotland","G7","3655","3515","56750","55210"
"In post","2022","Scotland","HEO","8095","7755","34330","33370"
"In post","2022","Scotland","SCS level","380","375","87880","83230"
"In post","2022","Scotland","SEO","5785","5540","44460","43000"
"In post","2022","Scotland","Unknown","100","95","40600","39930"
"In post","2022","South East (England)","AA","2490","2215","20710","19850"
"In post","2022","South East (England)","AO","11040","10080","25310","23250"
"In post","2022","South East (England)","EO","12445","11525","28210","27570"
"In post","2022","South East (England)","G6","770","730","70690","67780"
"In post","2022","South East (England)","G7","2980","2850","54970","53700"
"In post","2022","South East (England)","HEO","6275","6000","33840","33300"
"In post","2022","South East (England)","SCS level","210","195","94840","93000"
"In post","2022","South East (England)","SEO","4145","3980","42020","40580"
"In post","2022","South East (England)","Unknown","2270","2085","29870","28200"
"In post","2022","South West (England)","AA","1665","1570","20110","19810"
