"Status","Year","Ethnicity","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","AO","20","20","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","EO","40","35","27170","27570"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Bedford","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","5","5","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","AO","80","70","25410","25060"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","140","130","29850","29290"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","G6","15","15","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","G7","25","25","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","HEO","60","55","35920","36910"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
