"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Inner London - West","London","10","10","38800","34500"
"In post","2022","Attorney General's Departments","Commercial","North Yorkshire","Outside London","15","15","37910","34390"
"In post","2022","Attorney General's Departments","Commercial","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
