"Status","Year","Age","Disability","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Declared disabled","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Northumberland, and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Outer London - South","London","[c]","[c]","[c]","[c]"
