"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire CC and Rutland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Leicestershire CC and Rutland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Lincolnshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","North Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","EO","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","Nottingham","SEO/HEO","20","20","36990","36730"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South and West Derbyshire","SEO/HEO","10","10","34390","32010"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","South Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","West Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","West Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Cambridgeshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Essex Haven Gateway","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Heart of Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Hertfordshire CC","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","East of England","Luton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","North and West Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","North and West Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Southend-on-Sea","SEO/HEO","10","10","38700","40520"
"In post","2022","Analysis","East of England","Suffolk CC","AA/AO","25","20","20610","21510"
"In post","2022","Analysis","East of England","Suffolk CC","EO","60","60","25300","25010"
"In post","2022","Analysis","East of England","Suffolk CC","G6/G7","65","60","51650","48080"
"In post","2022","Analysis","East of England","Suffolk CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","Suffolk CC","SEO/HEO","180","175","33360","32770"
"In post","2022","Analysis","London","Barking & Dagenham and Havering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Barnet","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Camden and City of London","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","London","Camden and City of London","EO","20","20","28620","28230"
"In post","2022","Analysis","London","Camden and City of London","G6/G7","135","120","85100","80360"
"In post","2022","Analysis","London","Camden and City of London","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","London","Camden and City of London","SEO/HEO","65","60","41640","41210"
"In post","2022","Analysis","London","Croydon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Croydon","EO","5","5","[c]","[c]"
"In post","2022","Analysis","London","Croydon","G6/G7","25","25","66190","62380"
"In post","2022","Analysis","London","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Croydon","SEO/HEO","25","25","41080","37930"
"In post","2022","Analysis","London","Hackney and Newham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Hackney and Newham","EO","10","10","[c]","[c]"
"In post","2022","Analysis","London","Hackney and Newham","G6/G7","50","45","62590","62120"
"In post","2022","Analysis","London","Hackney and Newham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Hackney and Newham","SEO/HEO","105","100","39980","37930"
"In post","2022","Analysis","London","Haringey and Islington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Harrow and Hillingdon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","London","Lambeth","G6/G7","[c]","[c]","[c]","[c]"
