"Status","Year","Age","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department for Work and Pensions","25","25","[c]","[c]"
"In post","2022","16-19","Asian","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","HM Revenue and Customs","15","15","[c]","[c]"
"In post","2022","16-19","Asian","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
