"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA/AO","AO","Female","135","125","21900","21510"
"In post","2022","Analysis","AA/AO","AO","Male","120","120","21860","21260"
"In post","2022","Analysis","EO","EO","Female","450","420","26750","26350"
"In post","2022","Analysis","EO","EO","Male","420","410","26930","26590"
"In post","2022","Analysis","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","G6","Female","310","280","69820","66370"
"In post","2022","Analysis","G6/G7","G6","Male","375","370","73540","68790"
"In post","2022","Analysis","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","G7","Female","920","855","54680","53530"
"In post","2022","Analysis","G6/G7","G7","Male","1205","1180","54930","54270"
"In post","2022","Analysis","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS level","SCS level","Female","80","75","85190","79590"
"In post","2022","Analysis","SCS level","SCS level","Male","110","105","92290","81460"
"In post","2022","Analysis","SEO/HEO","HEO","Female","1150","1110","32960","32350"
"In post","2022","Analysis","SEO/HEO","HEO","Male","1320","1305","33390","33190"
"In post","2022","Analysis","SEO/HEO","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","SEO/HEO","SEO","Female","920","865","40210","39390"
"In post","2022","Analysis","SEO/HEO","SEO","Male","920","900","40630","40010"
"In post","2022","Analysis","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2022","Commercial","AA/AO","AA","Male","25","20","[c]","[c]"
"In post","2022","Commercial","AA/AO","AO","Female","135","120","22740","21840"
"In post","2022","Commercial","AA/AO","AO","Male","125","120","22430","21840"
"In post","2022","Commercial","EO","EO","Female","465","440","26540","26350"
"In post","2022","Commercial","EO","EO","Male","295","295","26850","26660"
"In post","2022","Commercial","G6/G7","G6","Female","305","295","71300","67370"
"In post","2022","Commercial","G6/G7","G6","Male","380","375","73260","69390"
"In post","2022","Commercial","G6/G7","G7","Female","765","740","56090","54360"
"In post","2022","Commercial","G6/G7","G7","Male","795","790","57500","54700"
"In post","2022","Commercial","SCS level","SCS level","Female","125","120","102950","96340"
"In post","2022","Commercial","SCS level","SCS level","Male","210","205","115430","113870"
"In post","2022","Commercial","SEO/HEO","HEO","Female","660","630","32750","33000"
"In post","2022","Commercial","SEO/HEO","HEO","Male","510","505","32850","33000"
"In post","2022","Commercial","SEO/HEO","SEO","Female","870","830","40070","40170"
"In post","2022","Commercial","SEO/HEO","SEO","Male","780","770","41030","40650"
"In post","2022","Commercial","Unknown","Unknown","Female","75","75","37500","37280"
"In post","2022","Commercial","Unknown","Unknown","Male","90","90","42140","39860"
"In post","2022","Communications","AA/AO","AA","Female","15","15","[c]","[c]"
"In post","2022","Communications","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2022","Communications","AA/AO","AO","Female","255","225","21880","21250"
"In post","2022","Communications","AA/AO","AO","Male","210","200","21890","21250"
"In post","2022","Communications","EO","EO","Female","1580","1500","26970","26820"
"In post","2022","Communications","EO","EO","Male","1655","1635","26910","26820"
"In post","2022","Communications","G6/G7","G6","Female","220","210","67160","66230"
"In post","2022","Communications","G6/G7","G6","Male","145","145","67850","66280"
"In post","2022","Communications","G6/G7","G7","Female","520","495","54940","54700"
"In post","2022","Communications","G6/G7","G7","Male","320","315","54590","54700"
"In post","2022","Communications","SCS level","SCS level","Female","70","65","88820","83110"
"In post","2022","Communications","SCS level","SCS level","Male","65","65","95760","87750"
"In post","2022","Communications","SEO/HEO","HEO","Female","1130","1085","33640","33370"
"In post","2022","Communications","SEO/HEO","HEO","Male","1015","1005","33760","33370"
"In post","2022","Communications","SEO/HEO","SEO","Female","765","735","41230","40580"
"In post","2022","Communications","SEO/HEO","SEO","Male","545","540","41320","40520"
"In post","2022","Communications","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","AO","Female","1735","1420","22390","21260"
"In post","2022","Counter Fraud","AA/AO","AO","Male","1005","955","22250","21260"
"In post","2022","Counter Fraud","EO","EO","Female","4030","3595","28130","27570"
"In post","2022","Counter Fraud","EO","EO","Male","3165","3010","28170","27570"
"In post","2022","Counter Fraud","G6/G7","G6","Female","95","90","68810","67910"
"In post","2022","Counter Fraud","G6/G7","G6","Male","220","215","69620","67910"
"In post","2022","Counter Fraud","G6/G7","G7","Female","385","365","56080","55210"
"In post","2022","Counter Fraud","G6/G7","G7","Male","615","595","56650","55210"
"In post","2022","Counter Fraud","SCS level","SCS level","Female","25","20","[c]","[c]"
"In post","2022","Counter Fraud","SCS level","SCS level","Male","25","25","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","HEO","Female","1965","1830","34210","33370"
"In post","2022","Counter Fraud","SEO/HEO","HEO","Male","2075","2015","34510","33370"
"In post","2022","Counter Fraud","SEO/HEO","SEO","Female","745","710","40800","40520"
"In post","2022","Counter Fraud","SEO/HEO","SEO","Male","920","890","41360","40520"
"In post","2022","Debt","AA/AO","AA","Female","20","15","[c]","[c]"
"In post","2022","Debt","AA/AO","AA","Male","20","20","[c]","[c]"
"In post","2022","Debt","AA/AO","AO","Female","3185","2655","21690","21260"
"In post","2022","Debt","AA/AO","AO","Male","1960","1870","21600","21250"
"In post","2022","Debt","EO","EO","Female","720","630","27830","27570"
"In post","2022","Debt","EO","EO","Male","495","470","27790","27570"
"In post","2022","Debt","G6/G7","G6","Female","10","10","[c]","[c]"
"In post","2022","Debt","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2022","Debt","G6/G7","G7","Female","20","20","[c]","[c]"
"In post","2022","Debt","G6/G7","G7","Male","20","20","[c]","[c]"
"In post","2022","Debt","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO/HEO","HEO","Female","170","150","33250","33370"
"In post","2022","Debt","SEO/HEO","HEO","Male","100","95","33890","33370"
"In post","2022","Debt","SEO/HEO","SEO","Female","55","55","39170","40180"
"In post","2022","Debt","SEO/HEO","SEO","Male","40","35","42000","40520"
"In post","2022","Digital, Data & Technology","AA/AO","AA","Female","40","35","19630","19380"
"In post","2022","Digital, Data & Technology","AA/AO","AA","Male","55","55","19590","19380"
"In post","2022","Digital, Data & Technology","AA/AO","AO","Female","415","390","22010","21380"
"In post","2022","Digital, Data & Technology","AA/AO","AO","Male","440","435","22240","21430"
"In post","2022","Digital, Data & Technology","EO","EO","Female","1410","1305","27390","26900"
"In post","2022","Digital, Data & Technology","EO","EO","Male","2385","2325","27760","27570"
"In post","2022","Digital, Data & Technology","G6/G7","G6","Female","465","455","66540","65920"
"In post","2022","Digital, Data & Technology","G6/G7","G6","Male","915","905","68360","67060"
"In post","2022","Digital, Data & Technology","G6/G7","G7","Female","1670","1605","53680","53890"
"In post","2022","Digital, Data & Technology","G6/G7","G7","Male","2950","2915","55370","54700"
"In post","2022","Digital, Data & Technology","SCS level","SCS level","Female","115","110","88340","79860"
"In post","2022","Digital, Data & Technology","SCS level","SCS level","Male","220","215","94460","90000"
"In post","2022","Digital, Data & Technology","SEO/HEO","HEO","Female","2150","2045","33260","33080"
"In post","2022","Digital, Data & Technology","SEO/HEO","HEO","Male","3205","3150","33920","33300"
"In post","2022","Digital, Data & Technology","SEO/HEO","SEO","Female","1965","1880","40310","40220"
"In post","2022","Digital, Data & Technology","SEO/HEO","SEO","Male","3585","3530","41470","40520"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","Female","25","25","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Unknown","Male","50","50","33380","32300"
"In post","2022","Finance","AA/AO","AA","Female","55","35","20620","21250"
"In post","2022","Finance","AA/AO","AA","Male","35","30","20850","21250"
"In post","2022","Finance","AA/AO","AO","Female","1075","870","21890","21260"
"In post","2022","Finance","AA/AO","AO","Male","555","520","21730","21250"
"In post","2022","Finance","EO","EO","Female","1305","1210","26950","26780"
