"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","Westminster","10","10","51300","53360"
"In post","2022","Analysis","Commercial","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Tower Hamlets","10","10","55810","56120"
"In post","2022","Analysis","Digital, Data and Technology","London","Westminster","50","50","48860","45250"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","Darlington","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","Manchester","10","10","38550","37590"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South East (England)","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","Bristol, City of","15","15","36370","36500"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Wales","Cardiff and Vale of Glamorgan","15","15","38370","36530"
"In post","2022","Analysis","Digital, Data and Technology","Wales","Central Valleys","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","Coventry","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Sheffield","25","20","43580","42210"
"In post","2022","Analysis","Economics","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","London","Camden and City of London","30","30","63720","60150"
"In post","2022","Analysis","Economics","London","Croydon","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","London","Hackney and Newham","20","20","48860","37930"
"In post","2022","Analysis","Economics","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","London","Tower Hamlets","190","180","57190","55860"
"In post","2022","Analysis","Economics","London","Westminster","830","815","46770","40840"
"In post","2022","Analysis","Economics","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North East (England)","Tyneside","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Greater Manchester South West","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Manchester","45","45","40410","34180"
"In post","2022","Analysis","Economics","North West (England)","Sefton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","Glasgow City","10","10","48610","47000"
"In post","2022","Analysis","Economics","South East (England)","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South East (England)","South Hampshire","15","15","38740","30760"
"In post","2022","Analysis","Economics","South East (England)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","Monmouthshire and Newport","130","130","33890","30710"
"In post","2022","Analysis","Economics","West Midlands (England)","Birmingham","15","15","50150","46390"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Leeds","25","25","40510","36430"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Sheffield","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","Croydon","15","15","50690","50590"
"In post","2022","Analysis","Finance","London","Tower Hamlets","25","25","48180","45670"
"In post","2022","Analysis","Finance","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North East (England)","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North West (England)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands (England)","Coventry","[c]","[c]","[c]","[c]"
