"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Inner London - West","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
