"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AA","Heterosexual / straight","30","25","21700","21640"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AA","Unknown","50","35","21770","21640"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AO","Heterosexual / straight","215","200","27050","23780"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AO","Undeclared","35","35","29560","24020"
"In post","2022","Aberdeen City and Aberdeenshire","AA/AO","AO","Unknown","180","175","26260","24400"
"In post","2022","Aberdeen City and Aberdeenshire","EO","EO","Heterosexual / straight","380","355","29030","27570"
"In post","2022","Aberdeen City and Aberdeenshire","EO","EO","LGBO","30","30","29350","27570"
"In post","2022","Aberdeen City and Aberdeenshire","EO","EO","Undeclared","40","35","28920","27570"
"In post","2022","Aberdeen City and Aberdeenshire","EO","EO","Unknown","185","175","31050","30450"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G6","Unknown","10","10","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G7","Heterosexual / straight","75","70","65980","62170"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","G6/G7","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SCS level","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Heterosexual / straight","195","190","35620","33350"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","LGBO","15","15","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Undeclared","25","20","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","Unknown","75","75","36050","36130"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Heterosexual / straight","235","225","56270","47490"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","Unknown","50","45","51960","47490"
"In post","2022","Angus and Dundee City","AA/AO","AA","Heterosexual / straight","195","190","21650","21050"
"In post","2022","Angus and Dundee City","AA/AO","AA","LGBO","30","30","21390","21050"
"In post","2022","Angus and Dundee City","AA/AO","AA","Undeclared","10","10","[c]","[c]"
"In post","2022","Angus and Dundee City","AA/AO","AA","Unknown","130","125","21580","21050"
