"Status","Year","Age","Function_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Female","15","15","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Communications","AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Communications","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Counter Fraud","AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","AO","Female","30","30","21250","21250"
"In post","2022","16-19","Debt","AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Debt","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AA","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","AO","Female","[c]","[c]","[c]","[c]"
