"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","AO","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","EO","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","G6","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","G7","45","45","55220","54670"
"In post","2022","Asian","Analysis","Economics","HEO","55","55","34800","33610"
"In post","2022","Asian","Analysis","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","AA","[c]","[c]","[c]","[c]"
