"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Central Bedfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Hertfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","Luton","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","Outside London","10","10","35440","29850"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","Outside London","5","5","[c]","[c]"
"In post","2022","Analysis","Cheshire","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","Cumbria","East Cumbria","Outside London","10","10","32600","33700"
"In post","2022","Analysis","Cumbria","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","Nottingham","Outside London","30","30","38240","37210"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","Outside London","20","20","40890","32010"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","Devon CC","Outside London","10","10","31210","29190"
"In post","2022","Analysis","Devon","Plymouth","Outside London","15","15","34160","29360"
"In post","2022","Analysis","Devon","Torbay","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Bournemouth, Christchurch and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","Dorset","Outside London","125","120","34310","30220"
"In post","2022","Analysis","Dorset and Somerset","Somerset CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","Cambridgeshire CC","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","East Anglia","North and West Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","Suffolk CC","Outside London","330","315","34570","30220"
"In post","2022","Analysis","East Wales","Cardiff and Vale of Glamorgan","Outside London","40","35","39370","36480"
"In post","2022","Analysis","East Wales","Flintshire and Wrexham","Outside London","10","10","[c]","[c]"
"In post","2022","Analysis","East Wales","Monmouthshire and Newport","Outside London","1255","1205","37160","36840"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","Angus and Dundee City","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","City of Edinburgh","Outside London","70","65","48340","45000"
"In post","2022","Analysis","Eastern Scotland","Clackmannanshire and Fife","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","East Lothian and Midlothian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","Southend-on-Sea","Outside London","20","20","47660","40520"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","75","70","38340","36000"
