"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","London","Heterosexual / straight","745","730","49800","51710"
"In post","2022","Analysis","Economics","London","LGBO","70","70","45340","38210"
"In post","2022","Analysis","Economics","London","Undeclared","100","95","49950","53090"
"In post","2022","Analysis","Economics","London","Unknown","155","155","47050","38150"
"In post","2022","Analysis","Economics","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Heterosexual / straight","45","40","40740","38020"
"In post","2022","Analysis","Economics","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South East (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Economics","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","Heterosexual / straight","90","90","33290","30710"
"In post","2022","Analysis","Economics","Wales","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
