"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","AA","Heterosexual / straight","700","655","20150","20310"
"In post","2022","East Midlands (England)","AA","LGBO","35","35","20420","20890"
"In post","2022","East Midlands (England)","AA","Undeclared","85","75","20050","19810"
"In post","2022","East Midlands (England)","AA","Unknown","190","175","20520","20890"
"In post","2022","East Midlands (England)","AO","Heterosexual / straight","4585","4180","22930","21260"
"In post","2022","East Midlands (England)","AO","LGBO","285","275","23440","21260"
"In post","2022","East Midlands (England)","AO","Undeclared","560","500","22990","21260"
"In post","2022","East Midlands (England)","AO","Unknown","1525","1365","22860","21260"
"In post","2022","East Midlands (England)","EO","Heterosexual / straight","4195","3885","27410","27570"
"In post","2022","East Midlands (England)","EO","LGBO","280","270","27280","27570"
"In post","2022","East Midlands (England)","EO","Undeclared","555","505","27570","27380"
"In post","2022","East Midlands (England)","EO","Unknown","1260","1155","27240","27130"
"In post","2022","East Midlands (England)","G6","Heterosexual / straight","305","295","68890","67910"
"In post","2022","East Midlands (England)","G6","LGBO","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Undeclared","30","30","71130","67960"
"In post","2022","East Midlands (England)","G6","Unknown","45","40","70650","67910"
"In post","2022","East Midlands (England)","G7","Heterosexual / straight","970","930","54720","55100"
"In post","2022","East Midlands (England)","G7","LGBO","50","45","55560","55210"
"In post","2022","East Midlands (England)","G7","Undeclared","115","110","55630","55210"
"In post","2022","East Midlands (England)","G7","Unknown","175","170","54600","55210"
"In post","2022","East Midlands (England)","HEO","Heterosexual / straight","2320","2200","33300","33370"
"In post","2022","East Midlands (England)","HEO","LGBO","145","145","32590","33080"
"In post","2022","East Midlands (England)","HEO","Undeclared","330","315","33440","33370"
"In post","2022","East Midlands (England)","HEO","Unknown","600","570","33080","33370"
"In post","2022","East Midlands (England)","SCS level","Heterosexual / straight","75","75","88960","84560"
"In post","2022","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","SEO","Heterosexual / straight","1460","1400","41880","40520"
"In post","2022","East Midlands (England)","SEO","LGBO","70","65","41610","40180"
"In post","2022","East Midlands (England)","SEO","Undeclared","215","205","42780","40520"
"In post","2022","East Midlands (England)","SEO","Unknown","260","250","40980","40520"
"In post","2022","East Midlands (England)","Unknown","Heterosexual / straight","1090","1000","29760","28200"
"In post","2022","East Midlands (England)","Unknown","LGBO","70","70","28610","25480"
"In post","2022","East Midlands (England)","Unknown","Undeclared","110","100","32020","31420"
"In post","2022","East Midlands (England)","Unknown","Unknown","280","250","28300","26310"
"In post","2022","East of England","AA","Heterosexual / straight","920","860","20400","20480"
"In post","2022","East of England","AA","LGBO","55","55","20620","20890"
"In post","2022","East of England","AA","Undeclared","105","100","20460","19850"
"In post","2022","East of England","AA","Unknown","255","235","20920","20890"
"In post","2022","East of England","AO","Heterosexual / straight","4190","3870","24750","23050"
"In post","2022","East of England","AO","LGBO","230","220","25200","24250"
"In post","2022","East of England","AO","Undeclared","535","485","24520","21960"
"In post","2022","East of England","AO","Unknown","1125","1010","24830","23140"
"In post","2022","East of England","EO","Heterosexual / straight","4920","4555","28330","27570"
"In post","2022","East of England","EO","LGBO","265","255","28140","27570"
"In post","2022","East of England","EO","Undeclared","660","605","28500","27570"
"In post","2022","East of England","EO","Unknown","1115","1000","28290","27570"
"In post","2022","East of England","G6","Heterosexual / straight","250","240","69500","67910"
"In post","2022","East of England","G6","LGBO","5","5","[c]","[c]"
"In post","2022","East of England","G6","Undeclared","30","30","67700","66480"
"In post","2022","East of England","G6","Unknown","70","70","71510","68500"
"In post","2022","East of England","G7","Heterosexual / straight","760","730","56210","54160"
"In post","2022","East of England","G7","LGBO","35","35","56980","54160"
"In post","2022","East of England","G7","Undeclared","95","95","54550","53500"
"In post","2022","East of England","G7","Unknown","225","210","55060","54160"
"In post","2022","East of England","HEO","Heterosexual / straight","2345","2240","33860","33300"
"In post","2022","East of England","HEO","LGBO","95","95","33360","33300"
"In post","2022","East of England","HEO","Undeclared","365","350","33970","33370"
"In post","2022","East of England","HEO","Unknown","430","410","33520","33290"
"In post","2022","East of England","SCS level","Heterosexual / straight","100","95","95600","95140"
"In post","2022","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East of England","SCS level","Undeclared","10","10","[c]","[c]"
