"Status","Year","Age","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","London","Inner London - West","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","London","Inner London - West","10","10","22390","20370"
"In post","2022","16-19","Crown Prosecution Service","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Wales","East Wales","10","10","17820","17450"
"In post","2022","16-19","Defence Electronics and Components Agency","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Scotland","Southern Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","90","90","18650","18030"
"In post","2022","16-19","Defence Equipment and Support","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","19490","21360"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Inner London - West","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Inner London - West","15","15","25110","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","London","Inner London - West","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","East of England","East Anglia","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","Northumberland, and Tyne and Wear","10","10","21840","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","Greater Manchester","15","15","22230","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","Lancashire","15","15","22750","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","South West (England)","Devon","[c]","[c]","[c]","[c]"
