"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Hertfordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO/HEO","10","10","38730","38940"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","EO","10","10","26700","25970"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","SEO/HEO","45","45","39540","42000"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6/G7","20","20","63120","61380"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO/HEO","35","30","39000","39580"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","SEO/HEO","20","20","35160","34350"
"In post","2022","Commercial","Cheshire","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Cheshire West and Chester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Warrington","SEO/HEO","15","10","36540","37150"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","East Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","West Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cumbria","West Cumbria","Unknown","15","15","41220","38240"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","EO","10","10","26580","26590"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","G6/G7","15","15","53330","50630"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","SEO/HEO","20","20","36800","37280"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","Nottingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","SEO/HEO","10","10","36820","34010"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Devon CC","EO","15","10","25490","25630"
"In post","2022","Commercial","Devon","Devon CC","G6/G7","110","105","51600","47960"
"In post","2022","Commercial","Devon","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Devon CC","SEO/HEO","85","80","36090","37420"
"In post","2022","Commercial","Devon","Plymouth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Plymouth","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Devon","Plymouth","SEO/HEO","10","10","37970","38550"
"In post","2022","Commercial","Devon","Plymouth","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Devon","Torbay","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","G6/G7","[c]","[c]","[c]","[c]"
