"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","London","EO","Heterosexual / straight","70","70","29380","29970"
"In post","2022","Commercial","London","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","EO","Unknown","35","35","28460","28650"
"In post","2022","Commercial","London","G6/G7","Heterosexual / straight","200","195","61900","60380"
"In post","2022","Commercial","London","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","London","G6/G7","Undeclared","60","60","59250","54520"
"In post","2022","Commercial","London","G6/G7","Unknown","50","50","61810","59350"
"In post","2022","Commercial","London","SCS level","Heterosexual / straight","40","40","83650","79250"
"In post","2022","Commercial","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","SEO/HEO","Heterosexual / straight","365","355","40370","40650"
"In post","2022","Commercial","London","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2022","Commercial","London","SEO/HEO","Undeclared","70","70","39970","40650"
"In post","2022","Commercial","London","SEO/HEO","Unknown","70","70","38950","39960"
"In post","2022","Commercial","London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","AA/AO","Heterosexual / straight","150","135","22130","21260"
"In post","2022","Commercial","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","Outside London","AA/AO","Undeclared","25","20","[c]","[c]"
"In post","2022","Commercial","Outside London","AA/AO","Unknown","80","75","23150","21640"
"In post","2022","Commercial","Outside London","EO","Heterosexual / straight","550","520","25900","26350"
"In post","2022","Commercial","Outside London","EO","LGBO","40","40","25790","26350"
"In post","2022","Commercial","Outside London","EO","Undeclared","70","60","26930","26740"
"In post","2022","Commercial","Outside London","EO","Unknown","125","120","26470","26350"
"In post","2022","Commercial","Outside London","G6/G7","Heterosexual / straight","685","665","56870","54200"
"In post","2022","Commercial","Outside London","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2022","Commercial","Outside London","G6/G7","Undeclared","85","80","56770","54540"
"In post","2022","Commercial","Outside London","G6/G7","Unknown","85","80","55510","51850"
"In post","2022","Commercial","Outside London","SCS level","Heterosexual / straight","40","40","89470","79970"
"In post","2022","Commercial","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Outside London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Outside London","SEO/HEO","Heterosexual / straight","2130","2055","36490","36500"
"In post","2022","Commercial","Outside London","SEO/HEO","LGBO","115","115","35690","34390"
"In post","2022","Commercial","Outside London","SEO/HEO","Undeclared","285","270","37410","36970"
"In post","2022","Commercial","Outside London","SEO/HEO","Unknown","355","340","36420","36780"
"In post","2022","Commercial","Outside London","Unknown","Heterosexual / straight","150","150","39950","39430"
"In post","2022","Commercial","Outside London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Outside London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","Outside London","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","AA/AO","Heterosexual / straight","35","35","24370","24250"
"In post","2022","Communications","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Communications","London","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2022","Communications","London","EO","Heterosexual / straight","140","135","28800","28310"
"In post","2022","Communications","London","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","London","EO","Undeclared","55","55","27830","27270"
"In post","2022","Communications","London","EO","Unknown","50","50","29340","28500"
"In post","2022","Communications","London","G6/G7","Heterosexual / straight","465","445","60180","58070"
"In post","2022","Communications","London","G6/G7","LGBO","50","50","59410","57210"
"In post","2022","Communications","London","G6/G7","Undeclared","95","90","59010","57430"
"In post","2022","Communications","London","G6/G7","Unknown","125","120","59430","57690"
"In post","2022","Communications","London","SCS level","Heterosexual / straight","60","60","90010","85000"
"In post","2022","Communications","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Communications","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2022","Communications","London","SEO/HEO","Heterosexual / straight","645","635","39770","40050"
"In post","2022","Communications","London","SEO/HEO","LGBO","80","80","39470","38620"
"In post","2022","Communications","London","SEO/HEO","Undeclared","100","100","38470","38540"
"In post","2022","Communications","London","SEO/HEO","Unknown","225","225","39540","38750"
"In post","2022","Communications","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","AA/AO","Heterosexual / straight","105","100","21600","21370"
"In post","2022","Communications","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2022","Communications","Outside London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","EO","Heterosexual / straight","245","230","27100","26670"
"In post","2022","Communications","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","Outside London","EO","Undeclared","35","35","27270","26780"
"In post","2022","Communications","Outside London","EO","Unknown","40","40","26740","26470"
"In post","2022","Communications","Outside London","G6/G7","Heterosexual / straight","250","240","56150","55210"
"In post","2022","Communications","Outside London","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","G6/G7","Undeclared","35","35","57610","59000"
"In post","2022","Communications","Outside London","G6/G7","Unknown","55","50","55000","54160"
"In post","2022","Communications","Outside London","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Communications","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","SEO/HEO","Heterosexual / straight","765","730","36450","36570"
"In post","2022","Communications","Outside London","SEO/HEO","LGBO","55","55","35870","35000"
