"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","AA/AO","AO","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","EO","EO","75","75","28060","27850"
"In post","2022","Asian","Analysis","G6/G7","G6","45","45","70570","67610"
"In post","2022","Asian","Analysis","G6/G7","G7","155","150","55970","54850"
"In post","2022","Asian","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SEO/HEO","HEO","200","195","34690","33940"
"In post","2022","Asian","Analysis","SEO/HEO","SEO","125","120","41540","41340"
"In post","2022","Asian","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","EO","EO","50","50","27130","26850"
"In post","2022","Asian","Commercial","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","G6/G7","G7","45","40","57400","55000"
"In post","2022","Asian","Commercial","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","SEO/HEO","HEO","80","80","33080","33330"
"In post","2022","Asian","Commercial","SEO/HEO","SEO","85","85","41770","40650"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA/AO","AO","40","40","21530","21250"
"In post","2022","Asian","Communications","EO","EO","365","355","26900","26630"
"In post","2022","Asian","Communications","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Asian","Communications","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Asian","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SEO/HEO","HEO","185","180","33710","33370"
"In post","2022","Asian","Communications","SEO/HEO","SEO","80","80","41400","40520"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA/AO","AO","340","290","23590","24250"
"In post","2022","Asian","Counter Fraud","EO","EO","590","555","29030","27570"
"In post","2022","Asian","Counter Fraud","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","G6/G7","G7","50","50","57870","58600"
"In post","2022","Asian","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO/HEO","HEO","270","265","35300","33400"
"In post","2022","Asian","Counter Fraud","SEO/HEO","SEO","90","90","41550","40520"
"In post","2022","Asian","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","AA/AO","AO","645","555","22310","21260"
"In post","2022","Asian","Debt","EO","EO","100","90","28850","27570"
"In post","2022","Asian","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","AA/AO","AO","35","35","22750","21840"
"In post","2022","Asian","Digital, Data & Technology","EO","EO","275","270","27990","27500"
"In post","2022","Asian","Digital, Data & Technology","G6/G7","G6","70","70","68890","67910"
"In post","2022","Asian","Digital, Data & Technology","G6/G7","G7","335","330","55940","54700"
"In post","2022","Asian","Digital, Data & Technology","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","SEO/HEO","HEO","330","325","33720","33370"
"In post","2022","Asian","Digital, Data & Technology","SEO/HEO","SEO","325","320","40920","40520"
"In post","2022","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA/AO","AO","120","105","21870","21250"
"In post","2022","Asian","Finance","EO","EO","220","215","27530","27140"
"In post","2022","Asian","Finance","G6/G7","G6","50","50","69090","68710"
"In post","2022","Asian","Finance","G6/G7","G7","155","155","55830","55100"
"In post","2022","Asian","Finance","SCS level","SCS level","25","25","[c]","[c]"
