"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Geography","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","AO","55","50","22810","21760"
"In post","2022","Asian","Human Resources","EO","EO","125","120","28100","27570"
"In post","2022","Asian","Human Resources","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","G6/G7","G7","75","75","55730","55210"
"In post","2022","Asian","Human Resources","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO/HEO","HEO","170","165","34240","34260"
"In post","2022","Asian","Human Resources","SEO/HEO","SEO","95","90","41600","41750"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","EO","EO","115","110","28360","28850"
"In post","2022","Asian","Intelligence Analysis","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","SEO/HEO","HEO","40","40","35030","35200"
"In post","2022","Asian","Intelligence Analysis","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","SEO","35","30","45510","44020"
"In post","2022","Asian","International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","G6/G7","G7","30","30","55110","54280"
"In post","2022","Asian","International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","International Trade","SEO/HEO","HEO","40","40","33160","32750"
"In post","2022","Asian","International Trade","SEO/HEO","SEO","40","40","40070","38540"
"In post","2022","Asian","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","AA/AO","AO","20","15","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","EO","EO","30","30","27850","27760"
"In post","2022","Asian","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","SEO/HEO","HEO","40","40","34020","34260"
"In post","2022","Asian","Knowledge and Information Management","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Asian","Legal","EO","EO","135","130","28880","28440"
"In post","2022","Asian","Legal","G6/G7","G6","110","100","68510","66220"
"In post","2022","Asian","Legal","G6/G7","G7","480","445","55000","53050"
"In post","2022","Asian","Legal","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Legal","SEO/HEO","HEO","175","170","36100","36240"
"In post","2022","Asian","Legal","SEO/HEO","SEO","125","115","43490","42100"
"In post","2022","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Medicine","AA/AO","AO","30","30","24240","23280"
"In post","2022","Asian","Medicine","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Medicine","G6/G7","G6","40","35","83000","81700"
"In post","2022","Asian","Medicine","G6/G7","G7","30","30","64240","61910"
"In post","2022","Asian","Medicine","SCS level","SCS level","55","55","107960","107700"
"In post","2022","Asian","Medicine","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Medicine","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Operational Delivery","AA/AO","AA","455","390","21360","21650"
"In post","2022","Asian","Operational Delivery","AA/AO","AO","6055","5320","22770","21260"
"In post","2022","Asian","Operational Delivery","EO","EO","7350","6815","28450","27570"
"In post","2022","Asian","Operational Delivery","G6/G7","G6","55","55","67650","66830"
"In post","2022","Asian","Operational Delivery","G6/G7","G7","280","280","55800","54270"
"In post","2022","Asian","Operational Delivery","SCS level","SCS level","30","30","95310","90680"
"In post","2022","Asian","Operational Delivery","SEO/HEO","HEO","1710","1630","34330","33680"
"In post","2022","Asian","Operational Delivery","SEO/HEO","SEO","740","725","43180","41750"
"In post","2022","Asian","Operational Delivery","Unknown","Unknown","750","695","29320","27980"
"In post","2022","Asian","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","G6/G7","G7","15","10","[c]","[c]"
"In post","2022","Asian","Operational Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Operational Research","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Operational Research","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Other","AA/AO","AA","55","55","20080","19050"
"In post","2022","Asian","Other","AA/AO","AO","510","445","22290","21260"
"In post","2022","Asian","Other","EO","EO","645","615","28110","27570"
"In post","2022","Asian","Other","G6/G7","G6","30","30","72080","67510"
"In post","2022","Asian","Other","G6/G7","G7","75","75","56340","56330"
"In post","2022","Asian","Other","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Other","SEO/HEO","HEO","205","195","33760","33820"
"In post","2022","Asian","Other","SEO/HEO","SEO","120","115","41580","41880"
"In post","2022","Asian","Other","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Planning","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Planning Inspectors","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Policy","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Asian","Policy","AA/AO","AO","50","50","25330","24370"
"In post","2022","Asian","Policy","EO","EO","270","260","28430","28310"
"In post","2022","Asian","Policy","G6/G7","G6","175","175","66780","65440"
"In post","2022","Asian","Policy","G6/G7","G7","560","550","54950","53760"
"In post","2022","Asian","Policy","SCS level","SCS level","85","80","82920","76920"
"In post","2022","Asian","Policy","SEO/HEO","HEO","730","720","34420","33960"
"In post","2022","Asian","Policy","SEO/HEO","SEO","520","510","41010","40600"
"In post","2022","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","AA/AO","AO","60","40","23510","23460"
"In post","2022","Asian","Project Delivery","EO","EO","120","115","28030","27890"
"In post","2022","Asian","Project Delivery","G6/G7","G6","50","50","68140","66530"
"In post","2022","Asian","Project Delivery","G6/G7","G7","170","170","55660","55730"
"In post","2022","Asian","Project Delivery","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Project Delivery","SEO/HEO","HEO","275","270","34230","34260"
"In post","2022","Asian","Project Delivery","SEO/HEO","SEO","255","255","41520","41750"
"In post","2022","Asian","Project Delivery","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","AA/AO","AO","20","15","[c]","[c]"
"In post","2022","Asian","Property","EO","EO","105","100","28490","28410"
"In post","2022","Asian","Property","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Asian","Property","G6/G7","G7","40","40","54000","54200"
"In post","2022","Asian","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","SEO/HEO","HEO","85","80","34570","34260"
"In post","2022","Asian","Property","SEO/HEO","SEO","55","55","43440","43790"
"In post","2022","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Psychology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Psychology","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Psychology","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Asian","Science and Engineering","AA/AO","AO","25","25","[c]","[c]"
"In post","2022","Asian","Science and Engineering","EO","EO","95","90","26680","26880"
"In post","2022","Asian","Science and Engineering","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Asian","Science and Engineering","G6/G7","G7","75","75","54260","53430"
"In post","2022","Asian","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Science and Engineering","SEO/HEO","HEO","175","170","32910","32640"
"In post","2022","Asian","Science and Engineering","SEO/HEO","SEO","180","175","41430","40850"
"In post","2022","Asian","Science and Engineering","Unknown","Unknown","25","25","[c]","[c]"
"In post","2022","Asian","Security","AA/AO","AA","100","100","21190","20310"
"In post","2022","Asian","Security","AA/AO","AO","70","65","29710","26680"
"In post","2022","Asian","Security","EO","EO","50","50","29120","28780"
"In post","2022","Asian","Security","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Asian","Security","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Asian","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","SEO/HEO","HEO","55","55","34630","35050"
"In post","2022","Asian","Security","SEO/HEO","SEO","45","45","43220","43360"
"In post","2022","Asian","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Social Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Asian","Social Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Social Research","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Social Research","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Statistics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","EO","EO","20","20","[c]","[c]"
"In post","2022","Asian","Statistics","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Asian","Statistics","G6/G7","G7","45","45","57270","58030"
"In post","2022","Asian","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Statistics","SEO/HEO","HEO","50","50","35060","35070"
"In post","2022","Asian","Statistics","SEO/HEO","SEO","50","50","42040","41340"
"In post","2022","Asian","Tax","AA/AO","AO","365","335","21430","21250"
"In post","2022","Asian","Tax","EO","EO","535","510","27960","26820"
"In post","2022","Asian","Tax","G6/G7","G6","30","30","[c]","[c]"
"In post","2022","Asian","Tax","G6/G7","G7","170","170","57160","55210"
"In post","2022","Asian","Tax","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tax","SEO/HEO","HEO","690","670","34960","33370"
"In post","2022","Asian","Tax","SEO/HEO","SEO","185","180","41600","40520"
"In post","2022","Asian","Unknown","AA/AO","AA","35","30","21710","21050"
"In post","2022","Asian","Unknown","AA/AO","AO","200","190","22270","21250"
"In post","2022","Asian","Unknown","EO","EO","305","295","28020","27500"
"In post","2022","Asian","Unknown","G6/G7","G6","80","80","68540","66640"
"In post","2022","Asian","Unknown","G6/G7","G7","235","230","56040","54700"
"In post","2022","Asian","Unknown","SCS level","SCS level","35","35","92150","90000"
"In post","2022","Asian","Unknown","SEO/HEO","HEO","370","365","34420","34550"
"In post","2022","Asian","Unknown","SEO/HEO","SEO","200","195","41810","40600"
"In post","2022","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Veterinarian","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Black","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Black","Commercial","EO","EO","35","35","27370","27230"
"In post","2022","Black","Commercial","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","Commercial","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Black","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","SEO/HEO","HEO","55","55","33260","33460"
"In post","2022","Black","Commercial","SEO/HEO","SEO","60","60","41880","41020"
"In post","2022","Black","Commercial","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Black","Communications","EO","EO","25","25","[c]","[c]"
"In post","2022","Black","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Black","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","SEO/HEO","HEO","40","40","35560","34960"
"In post","2022","Black","Communications","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","AA/AO","AO","105","90","24120","25110"
"In post","2022","Black","Counter Fraud","EO","EO","160","150","30170","31060"
"In post","2022","Black","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","SEO/HEO","HEO","40","35","36610","36650"
"In post","2022","Black","Counter Fraud","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","EO","EO","115","110","28310","28170"
"In post","2022","Black","Digital, Data and Technology","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","G6/G7","G7","115","115","56840","56570"
"In post","2022","Black","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data and Technology","SEO/HEO","HEO","170","170","34150","33620"
"In post","2022","Black","Digital, Data and Technology","SEO/HEO","SEO","175","170","41800","41750"
"In post","2022","Black","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","EO","EO","10","10","[c]","[c]"
"In post","2022","Black","Economics","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Black","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","SEO/HEO","HEO","30","30","[c]","[c]"
"In post","2022","Black","Economics","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","AA/AO","AO","30","30","24060","24050"
"In post","2022","Black","Finance","EO","EO","85","80","28570","28860"
"In post","2022","Black","Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","Finance","G6/G7","G7","75","75","56440","55090"
"In post","2022","Black","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","SEO/HEO","HEO","125","125","34880","34430"
"In post","2022","Black","Finance","SEO/HEO","SEO","115","115","43250","42550"
"In post","2022","Black","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Geography","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","AA/AO","AO","30","30","[c]","[c]"
"In post","2022","Black","Human Resources","EO","EO","80","80","28170","27720"
"In post","2022","Black","Human Resources","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","Human Resources","G6/G7","G7","45","45","55300","55470"
"In post","2022","Black","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","SEO/HEO","HEO","110","110","34260","34280"
"In post","2022","Black","Human Resources","SEO/HEO","SEO","70","65","42080","41950"
"In post","2022","Black","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Inspector of Education and Training","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Black","Intelligence Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
