"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","AA/AO","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","EO","75","75","28060","27850"
"In post","2022","Asian","Analysis","G6/G7","200","195","59370","57620"
"In post","2022","Asian","Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","SEO/HEO","320","315","37310","37150"
"In post","2022","Asian","Commercial","AA/AO","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","EO","50","50","27130","26850"
"In post","2022","Asian","Commercial","G6/G7","55","55","60120","59770"
"In post","2022","Asian","Commercial","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","SEO/HEO","165","165","37580","37430"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","AA/AO","40","40","21470","21250"
"In post","2022","Asian","Communications","EO","365","355","26900","26630"
"In post","2022","Asian","Communications","G6/G7","40","35","61750","61990"
"In post","2022","Asian","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","SEO/HEO","265","260","36000","33370"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","AA/AO","345","295","23550","24250"
"In post","2022","Asian","Counter Fraud","EO","590","555","29030","27570"
"In post","2022","Asian","Counter Fraud","G6/G7","55","55","59640","60640"
"In post","2022","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","SEO/HEO","360","355","36840","37610"
"In post","2022","Asian","Debt","AA/AO","650","555","22300","21260"
"In post","2022","Asian","Debt","EO","100","90","28850","27570"
"In post","2022","Asian","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","AA/AO","40","40","22500","21630"
"In post","2022","Asian","Digital, Data & Technology","EO","275","270","27990","27500"
"In post","2022","Asian","Digital, Data & Technology","G6/G7","405","405","58240","55280"
"In post","2022","Asian","Digital, Data & Technology","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","SEO/HEO","655","650","37280","36650"
"In post","2022","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA/AO","120","105","21900","21250"
"In post","2022","Asian","Finance","EO","220","215","27530","27140"
"In post","2022","Asian","Finance","G6/G7","205","205","58930","57540"
"In post","2022","Asian","Finance","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","Finance","SEO/HEO","575","560","37770","37030"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","AA/AO","30","25","[c]","[c]"
"In post","2022","Asian","Grants Management","EO","5","5","[c]","[c]"
"In post","2022","Asian","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","75","65","21920","21250"
"In post","2022","Asian","Human Resources","EO","180","175","28010","27570"
"In post","2022","Asian","Human Resources","G6/G7","115","115","57830","55980"
"In post","2022","Asian","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO/HEO","285","280","36510","36570"
"In post","2022","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","25","25","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","55","55","41240","40180"
"In post","2022","Asian","Legal","AA/AO","190","170","22980","23770"
"In post","2022","Asian","Legal","EO","225","210","27970","27350"
"In post","2022","Asian","Legal","G6/G7","570","530","57450","54200"
"In post","2022","Asian","Legal","SCS level","20","15","[c]","[c]"
"In post","2022","Asian","Legal","SEO/HEO","180","175","38090","38000"
"In post","2022","Asian","No function","AA/AO","5370","4750","22430","21260"
"In post","2022","Asian","No function","EO","6375","5945","28630","27570"
"In post","2022","Asian","No function","G6/G7","1300","1275","58290","55210"
"In post","2022","Asian","No function","SCS level","185","180","92470","87600"
"In post","2022","Asian","No function","SEO/HEO","3965","3840","37130","36260"
"In post","2022","Asian","No function","Unknown","745","690","29380","27980"
"In post","2022","Asian","Project Delivery","AA/AO","60","45","23590","23460"
"In post","2022","Asian","Project Delivery","EO","170","165","26900","27200"
"In post","2022","Asian","Project Delivery","G6/G7","315","310","59630","58030"
"In post","2022","Asian","Project Delivery","SCS level","25","25","[c]","[c]"
