"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedfordshire and Hertfordshire","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Cheshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Cumbria","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cumbria","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","EO","10","10","26510","26370"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","G7","10","10","[c]","[c]"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","HEO","20","20","32460","32010"
"In post","2022","Analysis","Derbyshire and Nottinghamshire","SEO","15","15","39990","39660"
"In post","2022","Analysis","Devon","EO","10","10","26180","26120"
"In post","2022","Analysis","Devon","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Devon","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Devon","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","AO","10","10","21540","21510"
"In post","2022","Analysis","Dorset and Somerset","EO","35","30","25300","25010"
"In post","2022","Analysis","Dorset and Somerset","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","G7","15","15","49810","49510"
"In post","2022","Analysis","Dorset and Somerset","HEO","40","35","29950","29750"
"In post","2022","Analysis","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Dorset and Somerset","SEO","25","25","37440","36580"
"In post","2022","Analysis","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","AO","20","20","21110","21510"
"In post","2022","Analysis","East Anglia","EO","65","60","25370","25010"
"In post","2022","Analysis","East Anglia","G6","15","15","60980","59120"
"In post","2022","Analysis","East Anglia","G7","50","50","49330","48080"
"In post","2022","Analysis","East Anglia","HEO","95","90","29910","29750"
"In post","2022","Analysis","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Anglia","SEO","90","90","37190","36580"
"In post","2022","Analysis","East Wales","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Wales","AO","55","55","20090","19860"
"In post","2022","Analysis","East Wales","EO","150","140","24970","24030"
"In post","2022","Analysis","East Wales","G6","50","50","61840","60940"
"In post","2022","Analysis","East Wales","G7","215","210","51460","50210"
"In post","2022","Analysis","East Wales","HEO","425","415","31000","30710"
"In post","2022","Analysis","East Wales","SCS level","15","15","80930","72220"
"In post","2022","Analysis","East Wales","SEO","380","365","38440","38340"
"In post","2022","Analysis","East Yorkshire and Northern Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","EO","10","10","28920","29770"
"In post","2022","Analysis","Eastern Scotland","G6","10","10","83620","74760"
"In post","2022","Analysis","Eastern Scotland","G7","15","15","55020","53530"
"In post","2022","Analysis","Eastern Scotland","HEO","10","10","36500","37710"
"In post","2022","Analysis","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Eastern Scotland","SEO","25","20","43080","45000"
"In post","2022","Analysis","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Essex","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Essex","SEO","10","10","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AO","10","10","21680","21410"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","45","40","26670","26350"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G6","10","10","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G7","70","65","53360","54750"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","105","100","32170","32010"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","105","100","40160","39850"
"In post","2022","Analysis","Greater Manchester","AO","10","10","21260","21260"
"In post","2022","Analysis","Greater Manchester","EO","20","20","26080","25940"
"In post","2022","Analysis","Greater Manchester","G6","10","10","66990","66610"
"In post","2022","Analysis","Greater Manchester","G7","60","60","53560","55210"
"In post","2022","Analysis","Greater Manchester","HEO","135","135","33120","33370"
"In post","2022","Analysis","Greater Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Greater Manchester","SEO","75","70","40100","40520"
"In post","2022","Analysis","Hampshire and Isle of Wight","AA","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","AO","15","15","20630","20350"
"In post","2022","Analysis","Hampshire and Isle of Wight","EO","70","65","25240","23880"
"In post","2022","Analysis","Hampshire and Isle of Wight","G6","25","25","62140","60940"
"In post","2022","Analysis","Hampshire and Isle of Wight","G7","265","250","50860","50210"
"In post","2022","Analysis","Hampshire and Isle of Wight","HEO","300","290","30850","30710"
"In post","2022","Analysis","Hampshire and Isle of Wight","SCS level","10","10","[c]","[c]"
"In post","2022","Analysis","Hampshire and Isle of Wight","SEO","265","250","38810","38340"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Herefordshire, Worcestershire and Warwickshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Inner London - East","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Inner London - East","EO","90","85","28870","28950"
"In post","2022","Analysis","Inner London - East","G6","85","80","72950","72430"
"In post","2022","Analysis","Inner London - East","G7","290","275","58930","60280"
"In post","2022","Analysis","Inner London - East","HEO","205","200","35680","35200"
"In post","2022","Analysis","Inner London - East","SCS level","40","35","97360","95660"
"In post","2022","Analysis","Inner London - East","SEO","180","175","43330","43030"
"In post","2022","Analysis","Inner London - West","AO","60","55","24380","24900"
"In post","2022","Analysis","Inner London - West","EO","210","205","28770","28000"
"In post","2022","Analysis","Inner London - West","G6","375","350","75190","69690"
"In post","2022","Analysis","Inner London - West","G7","840","810","56530","55140"
"In post","2022","Analysis","Inner London - West","HEO","820","810","35390","34710"
"In post","2022","Analysis","Inner London - West","SCS level","100","95","90190","79590"
"In post","2022","Analysis","Inner London - West","SEO","390","380","43580","42850"
"In post","2022","Analysis","Kent","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Kent","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lancashire","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire, Rutland and Northamptonshire","HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merseyside","AO","5","5","[c]","[c]"
"In post","2022","Analysis","Merseyside","EO","15","10","26630","26590"
"In post","2022","Analysis","Merseyside","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merseyside","G7","35","35","55660","55210"
"In post","2022","Analysis","Merseyside","HEO","40","35","33310","33220"
"In post","2022","Analysis","Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Merseyside","SEO","35","35","40070","40520"
"In post","2022","Analysis","North Yorkshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire","EO","5","5","[c]","[c]"
"In post","2022","Analysis","North Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North Yorkshire","HEO","10","10","31230","30710"
"In post","2022","Analysis","North Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northumberland, and Tyne and Wear","AO","10","10","[c]","[c]"
"In post","2022","Analysis","Northumberland, and Tyne and Wear","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Northumberland, and Tyne and Wear","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Northumberland, and Tyne and Wear","G7","45","45","53460","52150"
"In post","2022","Analysis","Northumberland, and Tyne and Wear","HEO","50","50","32430","31990"
"In post","2022","Analysis","Northumberland, and Tyne and Wear","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Northumberland, and Tyne and Wear","SEO","35","35","37380","36320"
"In post","2022","Analysis","Outer London - East and North East","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outer London - South","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outer London - South","EO","5","5","[c]","[c]"
"In post","2022","Analysis","Outer London - South","G6","10","10","73300","74850"
"In post","2022","Analysis","Outer London - South","G7","15","15","61110","62120"
"In post","2022","Analysis","Outer London - South","HEO","15","15","36850","37610"
"In post","2022","Analysis","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outer London - South","SEO","15","15","44580","43910"
"In post","2022","Analysis","Outer London - West and North West","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Outer London - West and North West","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Shropshire and Staffordshire","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Shropshire and Staffordshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Shropshire and Staffordshire","HEO","10","10","[c]","[c]"
"In post","2022","Analysis","Shropshire and Staffordshire","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","South Yorkshire","AO","10","10","[c]","[c]"
"In post","2022","Analysis","South Yorkshire","EO","10","10","[c]","[c]"
"In post","2022","Analysis","South Yorkshire","G6","30","25","66490","66370"
"In post","2022","Analysis","South Yorkshire","G7","65","60","53290","52150"
"In post","2022","Analysis","South Yorkshire","HEO","45","45","32840","32870"
"In post","2022","Analysis","South Yorkshire","SCS level","5","5","[c]","[c]"
"In post","2022","Analysis","South Yorkshire","SEO","50","45","38850","37370"
"In post","2022","Analysis","Southern Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Southern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Surrey, East and West Sussex","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Surrey, East and West Sussex","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Surrey, East and West Sussex","G6","5","5","[c]","[c]"
"In post","2022","Analysis","Surrey, East and West Sussex","G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Surrey, East and West Sussex","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Surrey, East and West Sussex","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tees Valley and Durham","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tees Valley and Durham","G7","5","5","[c]","[c]"
"In post","2022","Analysis","Tees Valley and Durham","HEO","20","15","30340","30710"
"In post","2022","Analysis","Tees Valley and Durham","SEO","5","5","[c]","[c]"
"In post","2022","Analysis","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","G6","5","5","[c]","[c]"
