"Status","Year","Region_ITL2","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","AA/AO","Female","655","590","23980","23230"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","AA/AO","Male","530","520","25910","24920"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","EO","Female","945","860","28850","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","EO","Male","665","640","29290","29290"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","G6/G7","Female","210","200","61100","59730"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","G6/G7","Male","200","195","61710","59730"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","SCS level","Male","20","20","[c]","[c]"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","Female","535","510","38900","37800"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","Male","510","500","38790","37660"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Unknown","Female","325","300","29590","28200"
"In post","2022","Bedfordshire and Hertfordshire","Outside London","Unknown","Male","80","75","29540","27810"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","Female","1525","1385","23870","21960"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","Male","1745","1720","27810","26830"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","Female","1320","1215","28580","27570"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","Male","1010","985","30640","28990"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","Female","355","330","60790","57930"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","Male","430","405","60110","57300"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","Female","30","30","96660","94340"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SCS level","Male","35","35","100860","1e+05"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","Female","1185","1120","37410","36050"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","Male","1245","1210","39530","38460"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","Female","480","445","29430","26310"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","Male","175","170","27630","24090"
"In post","2022","Cheshire","Outside London","AA/AO","Female","800","700","22520","21260"
"In post","2022","Cheshire","Outside London","AA/AO","Male","555","530","24150","21860"
"In post","2022","Cheshire","Outside London","EO","Female","785","730","29150","27570"
"In post","2022","Cheshire","Outside London","EO","Male","585","570","30600","29830"
"In post","2022","Cheshire","Outside London","G6/G7","Female","155","150","57700","55740"
"In post","2022","Cheshire","Outside London","G6/G7","Male","140","140","57340","54730"
"In post","2022","Cheshire","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Cheshire","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Cheshire","Outside London","SEO/HEO","Female","525","495","37870","36740"
"In post","2022","Cheshire","Outside London","SEO/HEO","Male","540","530","39860","40000"
"In post","2022","Cheshire","Outside London","Unknown","Female","225","210","29040","28200"
"In post","2022","Cheshire","Outside London","Unknown","Male","65","60","28990","26360"
"In post","2022","Cornwall and Isles of Scilly","Outside London","AA/AO","Female","395","340","21130","21260"
"In post","2022","Cornwall and Isles of Scilly","Outside London","AA/AO","Male","325","315","21280","21260"
"In post","2022","Cornwall and Isles of Scilly","Outside London","EO","Female","340","300","27430","27570"
"In post","2022","Cornwall and Isles of Scilly","Outside London","EO","Male","250","240","27160","27570"
"In post","2022","Cornwall and Isles of Scilly","Outside London","G6/G7","Female","40","35","59140","54350"
"In post","2022","Cornwall and Isles of Scilly","Outside London","G6/G7","Male","50","45","58400","57130"
"In post","2022","Cornwall and Isles of Scilly","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","Outside London","SEO/HEO","Female","135","130","35200","33560"
"In post","2022","Cornwall and Isles of Scilly","Outside London","SEO/HEO","Male","135","130","35900","34450"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Unknown","Female","65","60","28540","24800"
"In post","2022","Cornwall and Isles of Scilly","Outside London","Unknown","Male","30","30","31140","27890"
"In post","2022","Cumbria","Outside London","AA/AO","Female","575","485","21620","21300"
"In post","2022","Cumbria","Outside London","AA/AO","Male","375","365","23290","21300"
"In post","2022","Cumbria","Outside London","EO","Female","370","325","26230","26050"
"In post","2022","Cumbria","Outside London","EO","Male","230","225","26380","25990"
"In post","2022","Cumbria","Outside London","G6/G7","Female","55","55","55250","50850"
"In post","2022","Cumbria","Outside London","G6/G7","Male","50","50","56730","55610"
"In post","2022","Cumbria","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cumbria","Outside London","SEO/HEO","Female","190","175","34110","31990"
"In post","2022","Cumbria","Outside London","SEO/HEO","Male","150","150","35260","34290"
"In post","2022","Cumbria","Outside London","Unknown","Female","145","135","32190","30000"
"In post","2022","Cumbria","Outside London","Unknown","Male","165","155","40920","38570"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","AA/AO","Female","2160","1885","21990","21260"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","AA/AO","Male","1765","1690","23500","21260"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","EO","Female","2200","1960","27020","27130"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","EO","Male","1540","1490","27470","26900"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","G6/G7","Female","685","650","57230","55210"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","G6/G7","Male","665","645","58700","55210"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","SCS level","Female","40","40","91310","87400"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","SCS level","Male","35","35","94710","87490"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","Female","2110","1975","36110","33840"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","Male","1735","1690","36250","33680"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Unknown","Female","585","515","28980","28200"
"In post","2022","Derbyshire and Nottinghamshire","Outside London","Unknown","Male","190","175","30970","28410"
"In post","2022","Devon","Outside London","AA/AO","Female","1530","1290","21660","21260"
"In post","2022","Devon","Outside London","AA/AO","Male","1505","1440","23870","21960"
"In post","2022","Devon","Outside London","EO","Female","1210","1045","27080","27570"
"In post","2022","Devon","Outside London","EO","Male","1035","985","27870","27570"
"In post","2022","Devon","Outside London","G6/G7","Female","395","365","54390","49950"
"In post","2022","Devon","Outside London","G6/G7","Male","615","590","55430","53430"
"In post","2022","Devon","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Devon","Outside London","SCS level","Male","25","20","[c]","[c]"
"In post","2022","Devon","Outside London","SEO/HEO","Female","1095","1005","36520","36210"
"In post","2022","Devon","Outside London","SEO/HEO","Male","1410","1360","38490","38450"
"In post","2022","Devon","Outside London","Unknown","Female","280","255","29430","28200"
"In post","2022","Devon","Outside London","Unknown","Male","210","205","33290","29750"
"In post","2022","Dorset and Somerset","Outside London","AA/AO","Female","790","705","21980","21260"
"In post","2022","Dorset and Somerset","Outside London","AA/AO","Male","885","855","23550","21380"
"In post","2022","Dorset and Somerset","Outside London","EO","Female","865","755","27110","27570"
"In post","2022","Dorset and Somerset","Outside London","EO","Male","760","730","27790","27570"
"In post","2022","Dorset and Somerset","Outside London","G6/G7","Female","115","110","59700","54750"
"In post","2022","Dorset and Somerset","Outside London","G6/G7","Male","155","150","59820","56750"
"In post","2022","Dorset and Somerset","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Dorset and Somerset","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Dorset and Somerset","Outside London","SEO/HEO","Female","610","565","36140","33840"
"In post","2022","Dorset and Somerset","Outside London","SEO/HEO","Male","905","880","37670","36460"
"In post","2022","Dorset and Somerset","Outside London","Unknown","Female","260","230","28570","24800"
"In post","2022","Dorset and Somerset","Outside London","Unknown","Male","105","95","29430","28200"
"In post","2022","East Anglia","Outside London","AA/AO","Female","2400","2105","22420","21380"
"In post","2022","East Anglia","Outside London","AA/AO","Male","2410","2320","25230","23140"
"In post","2022","East Anglia","Outside London","EO","Female","1785","1590","27190","27570"
"In post","2022","East Anglia","Outside London","EO","Male","1505","1455","28390","27570"
"In post","2022","East Anglia","Outside London","G6/G7","Female","345","325","57190","53840"
"In post","2022","East Anglia","Outside London","G6/G7","Male","405","395","58440","55210"
"In post","2022","East Anglia","Outside London","SCS level","Female","25","20","[c]","[c]"
"In post","2022","East Anglia","Outside London","SCS level","Male","40","40","102620","103000"
"In post","2022","East Anglia","Outside London","SEO/HEO","Female","1445","1360","35820","33840"
"In post","2022","East Anglia","Outside London","SEO/HEO","Male","1675","1625","36980","35600"
"In post","2022","East Anglia","Outside London","Unknown","Female","620","560","28120","26010"
"In post","2022","East Anglia","Outside London","Unknown","Male","250","235","29090","26320"
"In post","2022","East Wales","Outside London","AA/AO","Female","2980","2585","21730","21260"
"In post","2022","East Wales","Outside London","AA/AO","Male","2375","2280","22430","21260"
"In post","2022","East Wales","Outside London","EO","Female","2830","2575","26750","26820"
"In post","2022","East Wales","Outside London","EO","Male","2305","2240","27480","26820"
"In post","2022","East Wales","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Wales","Outside London","G6/G7","Female","1345","1270","57590","56570"
"In post","2022","East Wales","Outside London","G6/G7","Male","1400","1370","58670","59630"
"In post","2022","East Wales","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Wales","Outside London","SCS level","Female","110","105","82550","78460"
"In post","2022","East Wales","Outside London","SCS level","Male","170","160","88260","79950"
"In post","2022","East Wales","Outside London","SEO/HEO","Female","3560","3350","36640","36840"
"In post","2022","East Wales","Outside London","SEO/HEO","Male","3150","3080","37300","36840"
"In post","2022","East Wales","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","East Wales","Outside London","Unknown","Female","470","440","29040","26820"
"In post","2022","East Wales","Outside London","Unknown","Male","155","150","31350","31310"
"In post","2022","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","Female","1055","910","22520","21260"
