"Status","Year","Age","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Department for Work and Pensions (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","North East (England)","10","10","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","Scotland","10","10","21250","21250"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","FCDO Services","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Land Registry","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Met Office","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","UK Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Defence Equipment and Support","South West (England)","15","15","19730","19460"
"In post","2022","16-19","Finance","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","FCDO Services","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","Scotland","10","5","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Prison Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","East of England","5","5","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","London","10","10","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Criminal Injuries Compensation Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Office and Procurator Fiscal Service","Scotland","10","10","21050","21050"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","Wales","10","10","17820","17450"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","South West (England)","10","10","18340","17650"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","25170","25170"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","East of England","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","North East (England)","10","10","21260","21260"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","North West (England)","30","30","22350","21260"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","South East (England)","10","10","24250","22760"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Wales","10","10","25670","27570"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","15","15","23360","21260"
"In post","2022","16-19","No function","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","Wales","70","60","19100","18310"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Health and Safety Executive","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Health and Safety Executive","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Prison and Probation Service","East Midlands (England)","20","20","22770","23140"
"In post","2022","16-19","No function","HM Prison and Probation Service","East of England","15","15","23490","23140"
"In post","2022","16-19","No function","HM Prison and Probation Service","London","10","10","[c]","[c]"
"In post","2022","16-19","No function","HM Prison and Probation Service","North East (England)","10","10","[c]","[c]"
"In post","2022","16-19","No function","HM Prison and Probation Service","North West (England)","20","20","21890","23140"
"In post","2022","16-19","No function","HM Prison and Probation Service","South East (England)","40","40","24720","23140"
"In post","2022","16-19","No function","HM Prison and Probation Service","South West (England)","15","15","22820","23140"
"In post","2022","16-19","No function","HM Prison and Probation Service","Wales","5","5","[c]","[c]"
"In post","2022","16-19","No function","HM Prison and Probation Service","West Midlands (England)","10","10","22980","23140"
"In post","2022","16-19","No function","HM Prison and Probation Service","Yorkshire and The Humber","20","20","21700","20890"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","North East (England)","20","20","21250","21250"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","North West (England)","45","40","21370","21250"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","Scotland","5","5","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","Wales","10","10","21730","21250"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","20","20","21250","21250"
"In post","2022","16-19","No function","HM Treasury (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Intellectual Property Office","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Legal Aid Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Legal Aid Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Maritime and Coastguard Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of the Public Guardian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Courts and Tribunals Service","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","No function","Scottish Prison Service","Scotland","5","5","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","South East (England)","10","5","[c]","[c]"
"In post","2022","16-19","No function","UK Statistics Authority","Wales","5","5","[c]","[c]"
"In post","2022","16-19","No function","Vehicle Certification Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Equipment and Support","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Equipment and Support","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Equipment and Support","South West (England)","75","75","18510","18030"
"In post","2022","16-19","Project Delivery","Defence Equipment and Support","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Science and Technology Laboratory","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Driver and Vehicle Standards Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Submarine Delivery Agency","South West (England)","15","15","18160","17140"
"In post","2022","16-19","Property","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","FCDO Services","South East (England)","15","15","19130","16630"
"In post","2022","16-19","Property","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","North East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","FCDO Services","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","HM Prison and Probation Service","Wales","[c]","[c]","[c]","[c]"
