"Status","Year","Profession_of_post","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","80","75","37820","36890"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","70","65","39890","39320"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Cheshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Cheshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Cornwall and Isles of Scilly","Female","Unknown","[c]","[c]","[c]","[c]"
