"Status","Year","Organisation","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Scotland","110","100","32650","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East Midlands (England)","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","East of England","40","40","34710","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","190","180","42690","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North East (England)","140","130","29910","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North West (England)","140","130","30510","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Scotland","90","80","31610","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South East (England)","30","30","34780","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","South West (England)","55","50","34280","31040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Wales","85","80","30970","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","West Midlands (England)","80","75","31660","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","70","65","31460","30950"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East Midlands (England)","85","80","32730","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","East of England","150","140","31170","29180"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","105","105","35320","31800"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North East (England)","55","50","30900","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","North West (England)","305","290","27460","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Scotland","140","135","32110","27350"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South East (England)","770","735","33060","28770"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","South West (England)","440","420","29130","25100"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","25","25","29460","25520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Wales","330","305","28300","24920"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","West Midlands (England)","285","265","29680","26520"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","225","215","28910","25400"
"In post","2022","Attorney General's Office","Attorney General's Departments","London","45","45","51580","51250"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East Midlands (England)","35","35","52570","38870"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","East of England","95","90","52160","50450"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","London","6425","6340","50120","47050"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","North East (England)","475","450","30530","25550"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","North West (England)","535","525","47100","40580"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Northern Ireland","10","10","31770","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Scotland","295","290","42850","33280"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","South East (England)","235","225","45170","34640"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","South West (England)","240","235","54080","49700"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","475","475","37420","32000"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Wales","80","80","42000","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","West Midlands (England)","150","150","58600","54010"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Yorkshire and The Humber","870","835","38510","33300"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","East of England","480","455","34470","30220"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","South West (England)","165","155","33370","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","Charity Commission","Charity Commission","London","80","80","44120","37910"
"In post","2022","Charity Commission","Charity Commission","North West (England)","345","325","31850","29160"
"In post","2022","Charity Commission","Charity Commission","South West (England)","35","35","31780","29540"
"In post","2022","Charity Commission","Charity Commission","Wales","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","London","5","5","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Northern Ireland","25","25","26210","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Scotland","45","45","25880","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Wales","1080","1000","31180","25460"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","London","795","770","61480","57060"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Northern Ireland","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Scotland","55","55","58200","55860"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Wales","5","5","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Scotland","320","295","27620","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","East Midlands (England)","10","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","East of England","160","155","39010","38330"
"In post","2022","Crown Commercial Service","Cabinet Office","London","75","70","54220","56160"
"In post","2022","Crown Commercial Service","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","North West (England)","390","385","38050","38330"
"In post","2022","Crown Commercial Service","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","South East (England)","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","South West (England)","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","Cabinet Office","Wales","115","115","36290","31250"
"In post","2022","Crown Commercial Service","Cabinet Office","West Midlands (England)","30","30","32780","30420"
"In post","2022","Crown Commercial Service","Cabinet Office","Yorkshire and The Humber","10","10","45790","42480"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Scotland","2350","2210","36710","31540"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","East Midlands (England)","490","450","39250","38000"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","East of England","515","465","41490","36240"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","London","1785","1690","44290","39750"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","North East (England)","355","325","39240","34480"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","North West (England)","1010","940","39330","33460"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","South East (England)","735","685","42520","39540"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","South West (England)","325","305","40800","38180"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Wales","395","365","40850","38180"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","West Midlands (England)","590","555","40870","38180"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Yorkshire and The Humber","835","775","39530","34480"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Wales","380","365","29870","29470"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","West Midlands (England)","55","55","26080","25830"
"In post","2022","Defence Equipment and Support","Ministry of Defence","East Midlands (England)","210","205","36220","35020"
"In post","2022","Defence Equipment and Support","Ministry of Defence","East of England","195","190","34820","33710"
"In post","2022","Defence Equipment and Support","Ministry of Defence","London","190","185","25590","22050"
"In post","2022","Defence Equipment and Support","Ministry of Defence","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","North West (England)","145","140","30280","27370"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Overseas","65","65","42420","41450"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Scotland","500","485","29700","26290"
"In post","2022","Defence Equipment and Support","Ministry of Defence","South East (England)","450","430","29840","27280"
"In post","2022","Defence Equipment and Support","Ministry of Defence","South West (England)","8745","8425","38130","35780"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Unknown","5","5","[c]","[c]"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Wales","20","20","33710","35260"
"In post","2022","Defence Equipment and Support","Ministry of Defence","West Midlands (England)","195","190","26880","23390"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Yorkshire and The Humber","20","20","32400","32010"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","East of England","15","15","46450","44510"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","South East (England)","1710","1635","41990","42020"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","South West (England)","2925","2830","40510","38070"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","East Midlands (England)","15","15","42450","36740"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","East of England","10","10","45630","49080"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","5235","5130","49670","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","North East (England)","25","20","51460","49860"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","North West (England)","245","240","41130","36740"
