"Status","Year","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","595","565","38240","36510"
"In post","2022","Declared disabled","Communications","315","305","38830","35480"
"In post","2022","Declared disabled","Corporate Finance","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","990","880","28350","27570"
"In post","2022","Declared disabled","Digital, Data and Technology","1740","1675","40060","36500"
"In post","2022","Declared disabled","Economics","115","115","46830","40050"
"In post","2022","Declared disabled","Finance","1120","1060","38440","33900"
"In post","2022","Declared disabled","Geography","25","25","[c]","[c]"
"In post","2022","Declared disabled","Human Resources","1265","1200","39840","35310"
"In post","2022","Declared disabled","Inspector of Education and Training","70","70","63630","64500"
"In post","2022","Declared disabled","Intelligence Analysis","295","280","33310","30820"
"In post","2022","Declared disabled","Internal Audit","90","90","44680","40580"
"In post","2022","Declared disabled","International Trade","130","130","47380","43820"
"In post","2022","Declared disabled","Knowledge and Information Management","305","290","35030","32520"
"In post","2022","Declared disabled","Legal","1050","965","49230","50500"
"In post","2022","Declared disabled","Medicine","120","115","57240","45840"
"In post","2022","Declared disabled","Operational Delivery","31330","28085","27900","27570"
"In post","2022","Declared disabled","Operational Research","90","85","43730","41750"
"In post","2022","Declared disabled","Other","3325","3075","28410","26930"
"In post","2022","Declared disabled","Planning","25","25","[c]","[c]"
"In post","2022","Declared disabled","Planning Inspectors","10","10","[c]","[c]"
"In post","2022","Declared disabled","Policy","3095","2995","45120","40220"
"In post","2022","Declared disabled","Project Delivery","1510","1435","40880","38600"
"In post","2022","Declared disabled","Property","600","570","37210","33300"
"In post","2022","Declared disabled","Psychology","125","120","32490","29750"
"In post","2022","Declared disabled","Science and Engineering","1015","970","36780","34310"
"In post","2022","Declared disabled","Security","705","680","32630","30320"
"In post","2022","Declared disabled","Social Research","130","120","40780","38340"
"In post","2022","Declared disabled","Statistics","245","235","42440","38340"
"In post","2022","Declared disabled","Tax","1570","1460","36520","33370"
"In post","2022","Declared disabled","Unknown","2580","2485","39710","34550"
"In post","2022","Declared disabled","Veterinarian","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","3995","3850","40150","37380"
"In post","2022","Declared non-disabled","Communications","2630","2530","42750","39580"
"In post","2022","Declared non-disabled","Corporate Finance","120","120","49230","45830"
"In post","2022","Declared non-disabled","Counter Fraud","4940","4445","29090","27570"
"In post","2022","Declared non-disabled","Digital, Data and Technology","13005","12640","42430","39040"
"In post","2022","Declared non-disabled","Economics","1395","1365","49100","51140"
"In post","2022","Declared non-disabled","Finance","8590","8255","40950","36650"
"In post","2022","Declared non-disabled","Geography","295","280","31810","33290"
"In post","2022","Declared non-disabled","Human Resources","6435","6100","39410","35200"
"In post","2022","Declared non-disabled","Inspector of Education and Training","800","780","66350","70500"
"In post","2022","Declared non-disabled","Intelligence Analysis","2310","2215","33640","30810"
"In post","2022","Declared non-disabled","Internal Audit","580","555","46050","43300"
"In post","2022","Declared non-disabled","International Trade","875","860","48050","47980"
"In post","2022","Declared non-disabled","Knowledge and Information Management","1660","1595","35420","32640"
"In post","2022","Declared non-disabled","Legal","8555","7995","50140","51250"
"In post","2022","Declared non-disabled","Medicine","1540","1370","53610","41900"
"In post","2022","Declared non-disabled","Operational Delivery","167785","153385","28760","27380"
"In post","2022","Declared non-disabled","Operational Research","885","850","45490","47010"
"In post","2022","Declared non-disabled","Other","19660","18590","30410","26950"
"In post","2022","Declared non-disabled","Planning","175","165","45980","41560"
"In post","2022","Declared non-disabled","Planning Inspectors","270","245","56300","58810"
"In post","2022","Declared non-disabled","Policy","22405","21720","48130","45310"
"In post","2022","Declared non-disabled","Project Delivery","11475","11025","43710","40520"
"In post","2022","Declared non-disabled","Property","5230","5000","38840","34110"
"In post","2022","Declared non-disabled","Psychology","1115","1070","36390","31180"
"In post","2022","Declared non-disabled","Science and Engineering","10465","10090","39180","38070"
"In post","2022","Declared non-disabled","Security","5925","5790","32270","28990"
"In post","2022","Declared non-disabled","Social Research","830","790","44270","40520"
"In post","2022","Declared non-disabled","Statistics","1615","1550","45000","40680"
"In post","2022","Declared non-disabled","Tax","11585","11025","36710","33370"
"In post","2022","Declared non-disabled","Unknown","17235","16700","42620","36390"
"In post","2022","Declared non-disabled","Veterinarian","315","300","44570","41510"
"In post","2022","Undeclared","Commercial","345","335","42180","40000"
"In post","2022","Undeclared","Communications","160","160","40820","38370"
"In post","2022","Undeclared","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Counter Fraud","330","305","29760","27570"
"In post","2022","Undeclared","Digital, Data and Technology","1095","1070","41220","38410"
"In post","2022","Undeclared","Economics","95","95","45980","40350"
"In post","2022","Undeclared","Finance","665","640","40170","36050"
"In post","2022","Undeclared","Geography","25","25","[c]","[c]"
"In post","2022","Undeclared","Human Resources","495","470","38050","34960"
"In post","2022","Undeclared","Intelligence Analysis","275","265","34580","32000"
"In post","2022","Undeclared","Internal Audit","55","55","51670","49750"
"In post","2022","Undeclared","International Trade","45","45","47450","51710"
"In post","2022","Undeclared","Knowledge and Information Management","155","150","35910","31990"
"In post","2022","Undeclared","Legal","555","515","46870","43240"
"In post","2022","Undeclared","Medicine","95","85","51920","39780"
"In post","2022","Undeclared","Operational Delivery","14910","13610","29290","27570"
"In post","2022","Undeclared","Operational Research","40","40","48650","42920"
"In post","2022","Undeclared","Other","1675","1590","28450","26670"
"In post","2022","Undeclared","Planning","5","5","[c]","[c]"
"In post","2022","Undeclared","Planning Inspectors","20","15","[c]","[c]"
"In post","2022","Undeclared","Policy","1705","1665","46660","42470"
"In post","2022","Undeclared","Project Delivery","765","740","43610","40580"
"In post","2022","Undeclared","Property","540","515","38590","34490"
"In post","2022","Undeclared","Psychology","125","120","37050","31180"
"In post","2022","Undeclared","Science and Engineering","660","635","38050","35910"
"In post","2022","Undeclared","Security","775","760","34560","34910"
"In post","2022","Undeclared","Social Research","40","35","41920","38320"
"In post","2022","Undeclared","Statistics","75","70","44650","42430"
"In post","2022","Undeclared","Tax","930","880","39660","33440"
"In post","2022","Undeclared","Unknown","790","770","41190","36130"
"In post","2022","Undeclared","Veterinarian","40","40","44810","37910"
"In post","2022","Unknown","Commercial","1265","1225","39290","36820"
"In post","2022","Unknown","Communications","1060","1040","42930","38870"
"In post","2022","Unknown","Corporate Finance","10","10","[c]","[c]"
"In post","2022","Unknown","Counter Fraud","320","300","33410","27570"
"In post","2022","Unknown","Digital, Data and Technology","4170","4115","42200","38480"
"In post","2022","Unknown","Economics","480","475","43390","36650"
"In post","2022","Unknown","Finance","1950","1890","39520","36500"
"In post","2022","Unknown","Geography","135","130","30470","29290"
"In post","2022","Unknown","Human Resources","1420","1365","36340","32600"
"In post","2022","Unknown","Inspector of Education and Training","65","60","59760","51360"
"In post","2022","Unknown","Intelligence Analysis","355","350","35360","33000"
"In post","2022","Unknown","Internal Audit","50","45","43260","40980"
"In post","2022","Unknown","International Trade","590","585","46040","40520"
"In post","2022","Unknown","Knowledge and Information Management","260","250","36740","33210"
"In post","2022","Unknown","Legal","2520","2400","44870","40910"
"In post","2022","Unknown","Medicine","755","665","60320","46440"
"In post","2022","Unknown","Operational Delivery","40975","38320","28880","26350"
"In post","2022","Unknown","Operational Research","120","115","41610","37260"
"In post","2022","Unknown","Other","5720","5555","34290","31060"
"In post","2022","Unknown","Planning","20","20","[c]","[c]"
"In post","2022","Unknown","Planning Inspectors","70","65","56070","58810"
"In post","2022","Unknown","Policy","5760","5640","45590","41750"
"In post","2022","Unknown","Project Delivery","2135","2075","44010","40520"
"In post","2022","Unknown","Property","1230","1195","34580","31090"
"In post","2022","Unknown","Psychology","155","150","32780","29750"
"In post","2022","Unknown","Science and Engineering","1810","1730","41250","40200"
"In post","2022","Unknown","Security","1880","1855","31980","28890"
"In post","2022","Unknown","Social Research","330","320","38480","38340"
"In post","2022","Unknown","Statistics","475","460","39970","38250"
"In post","2022","Unknown","Tax","5515","5265","30860","26820"
"In post","2022","Unknown","Unknown","11630","11300","41240","33250"
"In post","2022","Unknown","Veterinarian","40","35","40160","37240"
"Leaver CS","2022","Declared disabled","Commercial","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","45","[c]","27140","27570"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","105","[c]","38360","34110"
"Leaver CS","2022","Declared disabled","Economics","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","60","[c]","37900","33300"
"Leaver CS","2022","Declared disabled","Geography","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","75","[c]","35910","32730"
"Leaver CS","2022","Declared disabled","Inspector of Education and Training","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Intelligence Analysis","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Knowledge and Information Management","45","[c]","32540","29170"
"Leaver CS","2022","Declared disabled","Legal","45","[c]","57480","55610"
"Leaver CS","2022","Declared disabled","Medicine","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Operational Delivery","2450","[c]","26850","26130"
"Leaver CS","2022","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Other","285","[c]","26290","22330"
"Leaver CS","2022","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Policy","130","[c]","42470","37410"
"Leaver CS","2022","Declared disabled","Project Delivery","85","[c]","40510","38070"
"Leaver CS","2022","Declared disabled","Property","30","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Psychology","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Science and Engineering","120","[c]","38910","36330"
"Leaver CS","2022","Declared disabled","Security","60","[c]","32990","31180"
"Leaver CS","2022","Declared disabled","Social Research","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Statistics","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Tax","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Unknown","775","[c]","32080","27570"
"Leaver CS","2022","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Commercial","215","[c]","38830","36870"
"Leaver CS","2022","Declared non-disabled","Communications","200","[c]","39760","37540"
"Leaver CS","2022","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","205","[c]","28990","27570"
"Leaver CS","2022","Declared non-disabled","Digital, Data and Technology","770","[c]","42440","39040"
"Leaver CS","2022","Declared non-disabled","Economics","110","[c]","39660","34970"
"Leaver CS","2022","Declared non-disabled","Finance","410","[c]","39930","33630"
"Leaver CS","2022","Declared non-disabled","Geography","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Human Resources","365","[c]","38830","34290"
"Leaver CS","2022","Declared non-disabled","Inspector of Education and Training","105","[c]","67250","75500"
"Leaver CS","2022","Declared non-disabled","Intelligence Analysis","100","[c]","31460","29250"
"Leaver CS","2022","Declared non-disabled","Internal Audit","45","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","International Trade","45","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Knowledge and Information Management","290","[c]","35270","31400"
"Leaver CS","2022","Declared non-disabled","Legal","325","[c]","57310","55610"
"Leaver CS","2022","Declared non-disabled","Medicine","255","[c]","59290","41840"
"Leaver CS","2022","Declared non-disabled","Operational Delivery","13455","[c]","28310","27130"
"Leaver CS","2022","Declared non-disabled","Operational Research","35","[c]","37650","38070"
"Leaver CS","2022","Declared non-disabled","Other","1685","[c]","28940","24050"
"Leaver CS","2022","Declared non-disabled","Planning","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Planning Inspectors","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Policy","875","[c]","48240","44500"
"Leaver CS","2022","Declared non-disabled","Project Delivery","515","[c]","41570","38580"
"Leaver CS","2022","Declared non-disabled","Property","265","[c]","37600","34000"
"Leaver CS","2022","Declared non-disabled","Psychology","65","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Science and Engineering","1060","[c]","37360","35900"
"Leaver CS","2022","Declared non-disabled","Security","405","[c]","31990","28750"
"Leaver CS","2022","Declared non-disabled","Social Research","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Statistics","55","[c]","38400","33930"
"Leaver CS","2022","Declared non-disabled","Tax","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Unknown","4255","[c]","37930","30040"
"Leaver CS","2022","Declared non-disabled","Veterinarian","25","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","20","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data and Technology","80","[c]","38910","36840"
"Leaver CS","2022","Undeclared","Economics","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Finance","30","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Geography","5","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","20","[c]","[c]","[c]"
