"Status","Year","Parent_department","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Female","Heterosexual / straight","95","95","40650","34550"
"In post","2022","Cabinet Office","Scotland","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Female","Unknown","55","55","46310","33370"
"In post","2022","Cabinet Office","Scotland","Male","Heterosexual / straight","65","65","43020","33930"
"In post","2022","Cabinet Office","Scotland","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Male","Unknown","50","50","46610","32000"
"In post","2022","Cabinet Office","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South East (England)","Female","Heterosexual / straight","50","50","37100","33300"
"In post","2022","Cabinet Office","South East (England)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South East (England)","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office","South East (England)","Female","Unknown","60","60","45090","34120"
"In post","2022","Cabinet Office","South East (England)","Male","Heterosexual / straight","50","50","43480","34640"
"In post","2022","Cabinet Office","South East (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South East (England)","Male","Unknown","65","65","56750","51530"
"In post","2022","Cabinet Office","South East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Female","Heterosexual / straight","60","60","46450","49700"
"In post","2022","Cabinet Office","South West (England)","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Female","Unknown","60","60","57380","50210"
"In post","2022","Cabinet Office","South West (England)","Male","Heterosexual / straight","55","55","52180","45140"
"In post","2022","Cabinet Office","South West (England)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Male","Unknown","80","80","61020","53730"
"In post","2022","Cabinet Office","South West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","South West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Female","Heterosexual / straight","80","75","41350","37190"
"In post","2022","Cabinet Office","Unknown","Female","LGBO","15","15","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","Female","Unknown","150","145","33520","29250"
