"Status","Year","Disability","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Heterosexual / straight","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Electronics and Components Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
