"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","Inner London - West","10","10","51300","53360"
"In post","2022","Analysis","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Inner London - East","10","10","55810","56120"
"In post","2022","Analysis","Digital, Data and Technology","London","Inner London - West","50","50","48900","45250"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","Greater Manchester","10","10","38550","37590"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","38070","38550"
"In post","2022","Analysis","Digital, Data and Technology","Wales","East Wales","15","15","38370","36530"
"In post","2022","Analysis","Digital, Data and Technology","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","25","20","43580","42210"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","London","Inner London - East","205","200","56470","55800"
"In post","2022","Analysis","Economics","London","Inner London - West","855","840","47330","41750"
"In post","2022","Analysis","Economics","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North East (England)","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Greater Manchester","55","55","39750","33380"
"In post","2022","Analysis","Economics","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","Eastern Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","West Central Scotland","10","10","48610","47000"
"In post","2022","Analysis","Economics","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South East (England)","Hampshire and Isle of Wight","15","15","38740","30760"
"In post","2022","Analysis","Economics","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","East Wales","135","130","34270","30710"
