"Status","Year","Disability","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Derbyshire and Nottinghamshire","Outside London","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Devon","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Dorset and Somerset","Outside London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Anglia","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Wales","Outside London","120","115","36180","36440"
"In post","2022","Declared disabled","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Eastern Scotland","Outside London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Greater Manchester","Outside London","30","30","42240","40520"
"In post","2022","Declared disabled","Analysis","Hampshire and Isle of Wight","Outside London","80","70","41120","38340"
"In post","2022","Declared disabled","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Inner London - East","London","75","70","44880","41750"
"In post","2022","Declared disabled","Analysis","Inner London - West","London","205","195","47320","42220"
"In post","2022","Declared disabled","Analysis","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Merseyside","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northumberland, and Tyne and Wear","Outside London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
