"Status","Year","Age","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Bedfordshire and Hertfordshire","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","45","45","21230","21380"
"In post","2022","16-19","Cheshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Derbyshire and Nottinghamshire","Outside London","25","25","22190","21250"
"In post","2022","16-19","Devon","Outside London","25","25","19540","19380"
"In post","2022","16-19","Dorset and Somerset","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","East Anglia","Outside London","30","30","22490","21680"
"In post","2022","16-19","East Wales","Outside London","55","55","21020","21250"
"In post","2022","16-19","East Yorkshire and Northern Lincolnshire","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Eastern Scotland","Outside London","60","60","22150","21250"
"In post","2022","16-19","Essex","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","140","140","19380","19460"
"In post","2022","16-19","Greater Manchester","Outside London","60","60","22560","21260"
"In post","2022","16-19","Hampshire and Isle of Wight","Outside London","35","35","21520","21170"
"In post","2022","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Inner London - East","London","20","20","26420","25110"
"In post","2022","16-19","Inner London - West","London","90","90","25410","25170"
"In post","2022","16-19","Kent","Outside London","35","35","23560","21790"
"In post","2022","16-19","Lancashire","Outside London","30","30","22060","21260"
"In post","2022","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","20","20","21880","21260"
"In post","2022","16-19","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Merseyside","Outside London","55","55","21860","21250"
"In post","2022","16-19","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northumberland, and Tyne and Wear","Outside London","60","60","21680","21250"
"In post","2022","16-19","Outer London - East and North East","London","10","10","26290","25110"
"In post","2022","16-19","Outer London - South","London","10","10","26020","25330"
"In post","2022","16-19","Outer London - West and North West","London","10","5","[c]","[c]"
"In post","2022","16-19","Shropshire and Staffordshire","Outside London","15","15","21580","21840"
"In post","2022","16-19","South Yorkshire","Outside London","20","20","22270","21260"
