"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East Midlands (England)","EO","15","15","26640","26410"
"In post","2022","Analysis","East Midlands (England)","G6/G7","15","15","57170","53360"
"In post","2022","Analysis","East Midlands (England)","SEO/HEO","45","40","35510","33840"
"In post","2022","Analysis","East of England","AA/AO","25","25","20680","21510"
"In post","2022","Analysis","East of England","EO","65","60","25430","25010"
"In post","2022","Analysis","East of England","G6/G7","75","70","52780","49970"
"In post","2022","Analysis","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","East of England","SEO/HEO","210","200","34120","35900"
"In post","2022","Analysis","London","AA/AO","65","65","24420","24900"
"In post","2022","Analysis","London","EO","305","300","28850","28310"
"In post","2022","Analysis","London","G6/G7","1615","1545","62300","59730"
"In post","2022","Analysis","London","SCS level","140","135","92040","82310"
"In post","2022","Analysis","London","SEO/HEO","1625","1600","38380","37930"
"In post","2022","Analysis","North East (England)","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","EO","10","10","[c]","[c]"
"In post","2022","Analysis","North East (England)","G6/G7","55","55","54390","52150"
"In post","2022","Analysis","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North East (England)","SEO/HEO","110","105","34110","33260"
"In post","2022","Analysis","North West (England)","AA/AO","20","20","21290","21260"
"In post","2022","Analysis","North West (England)","EO","45","40","26090","26410"
"In post","2022","Analysis","North West (England)","G6/G7","115","110","55800","55210"
"In post","2022","Analysis","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","North West (England)","SEO/HEO","300","290","35840","33370"
"In post","2022","Analysis","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scotland","AA/AO","[c]","[c]","[c]","[c]"
