"Status","Year","Age","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Economics","London","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Economics","Wales","5","5","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Science and Engineering","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Statistics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Communications","London","10","10","25760","25110"
"In post","2022","16-19","Communications","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Tax","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Counter Fraud","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","North East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Debt","Tax","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Debt","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","South West (England)","15","15","20170","19380"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Digital, Data & Technology","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Finance","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","South West (England)","15","15","19730","19460"
"In post","2022","16-19","Finance","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","East of England","5","5","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","East Midlands (England)","35","35","22440","23140"
"In post","2022","16-19","No function","Operational Delivery","East of England","25","25","23440","23140"
"In post","2022","16-19","No function","Operational Delivery","London","30","25","24870","23930"
"In post","2022","16-19","No function","Operational Delivery","North East (England)","30","30","21420","21260"
"In post","2022","16-19","No function","Operational Delivery","North West (England)","90","90","21620","21250"
"In post","2022","16-19","No function","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Operational Delivery","Scotland","40","35","21460","21250"
"In post","2022","16-19","No function","Operational Delivery","South East (England)","60","60","23580","21790"
"In post","2022","16-19","No function","Operational Delivery","South West (England)","25","25","22250","21260"
"In post","2022","16-19","No function","Operational Delivery","Wales","100","85","19880","18310"
"In post","2022","16-19","No function","Operational Delivery","West Midlands (England)","35","35","21990","21260"
"In post","2022","16-19","No function","Operational Delivery","Yorkshire and The Humber","50","50","22180","21250"
"In post","2022","16-19","No function","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Wales","5","5","[c]","[c]"
"In post","2022","16-19","No function","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","London","20","20","25630","25170"
"In post","2022","16-19","No function","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Policy","West Midlands (England)","5","5","[c]","[c]"
"In post","2022","16-19","No function","Policy","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","No function","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Science and Engineering","South West (England)","10","10","18410","18350"
"In post","2022","16-19","No function","Science and Engineering","Wales","10","10","17820","17450"
"In post","2022","16-19","No function","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","North East (England)","10","10","[c]","[c]"
"In post","2022","16-19","No function","Tax","North West (England)","15","15","21660","21250"
"In post","2022","16-19","No function","Tax","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Wales","5","5","[c]","[c]"
"In post","2022","16-19","No function","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Tax","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2022","16-19","No function","Unknown","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Veterinarian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","South East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","South West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Science and Engineering","South West (England)","80","80","18200","17140"
"In post","2022","16-19","Property","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","North East (England)","5","5","[c]","[c]"
"In post","2022","16-19","Property","Property","North West (England)","5","5","[c]","[c]"
"In post","2022","16-19","Property","Property","South East (England)","15","15","19020","16630"
"In post","2022","16-19","Property","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Security","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","London","5","5","[c]","[c]"
"In post","2022","16-19","Security","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","East of England","10","10","22220","21680"
"In post","2022","16-19","Unknown","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","South East (England)","20","20","22970","21680"
"In post","2022","16-19","Unknown","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","London","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Other","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Scotland","55","55","22230","21050"
"In post","2022","16-19","Unknown","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","London","20","20","44410","45250"
"In post","2022","20-29","Analysis","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Digital, Data and Technology","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","London","625","620","39410","35000"
"In post","2022","20-29","Analysis","Economics","North East (England)","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","North West (England)","40","40","34780","33370"
"In post","2022","20-29","Analysis","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","South East (England)","10","10","31580","30710"
"In post","2022","20-29","Analysis","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","Wales","85","85","28790","30710"
"In post","2022","20-29","Analysis","Economics","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Economics","Yorkshire and The Humber","20","20","34800","31000"
"In post","2022","20-29","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Finance","London","10","10","36810","34250"
"In post","2022","20-29","Analysis","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Geography","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Human Resources","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","South East (England)","10","10","27160","26030"
"In post","2022","20-29","Analysis","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intelligence Analysis","Wales","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Medicine","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Medicine","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","London","55","55","36520","33710"
"In post","2022","20-29","Analysis","Operational Delivery","North East (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","North West (England)","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","South East (England)","25","25","29110","30210"
"In post","2022","20-29","Analysis","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","Wales","75","75","30640","30210"
"In post","2022","20-29","Analysis","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","London","80","80","39800","37050"
"In post","2022","20-29","Analysis","Operational Research","North East (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","North West (England)","25","25","34970","33370"
"In post","2022","20-29","Analysis","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","South East (England)","60","60","31790","29230"
"In post","2022","20-29","Analysis","Operational Research","South West (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","Wales","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Operational Research","Yorkshire and The Humber","10","10","32920","35330"
"In post","2022","20-29","Analysis","Other","London","90","90","36860","33400"
"In post","2022","20-29","Analysis","Other","Scotland","15","15","34360","30000"
"In post","2022","20-29","Analysis","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","London","125","125","44470","40650"
"In post","2022","20-29","Analysis","Policy","North East (England)","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","North West (England)","20","20","33240","32430"
"In post","2022","20-29","Analysis","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Policy","Yorkshire and The Humber","40","40","36240","32870"
"In post","2022","20-29","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","East of England","50","50","26000","25460"
"In post","2022","20-29","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Science and Engineering","South East (England)","30","30","31150","29230"
"In post","2022","20-29","Analysis","Science and Engineering","South West (England)","45","45","28210","29230"
"In post","2022","20-29","Analysis","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
