"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","London","Female","215","205","45430","40930"
"In post","2022","Asian","Analysis","London","Male","230","225","45890","42260"
"In post","2022","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Outside London","Female","100","95","36600","33370"
"In post","2022","Asian","Analysis","Outside London","Male","85","85","35550","33950"
"In post","2022","Asian","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Female","85","85","45040","40600"
"In post","2022","Asian","Commercial","London","Male","75","75","49900","44080"
"In post","2022","Asian","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Female","60","60","34390","33000"
"In post","2022","Asian","Commercial","Outside London","Male","70","70","37800","33370"
"In post","2022","Asian","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Female","95","90","43380","40000"
"In post","2022","Asian","Communications","London","Male","55","55","43420","40530"
"In post","2022","Asian","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Female","230","220","29670","26820"
"In post","2022","Asian","Communications","Outside London","Male","330","325","28920","26820"
"In post","2022","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","Female","375","330","31330","31020"
