"Status","Year","Ethnicity","Parent_department","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","40","40","35470","28430"
"In post","2022","Asian","Attorney General's Departments","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","25","20","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","East Anglia","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","East of England","Essex","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Inner London - West","655","610","44910","50500"
"In post","2022","Asian","Attorney General's Departments","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Outer London - South","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Northumberland, and Tyne and Wear","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Greater Manchester","25","25","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South East (England)","Surrey, East and West Sussex","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","West Midlands (England)","West Midlands","110","100","37440","34480"
"In post","2022","Asian","Attorney General's Departments","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
