"Status","Year","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Female","70","60","31110","30040"
"In post","2022","Accountant in Bankruptcy","Male","40","40","35150","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Female","610","555","32240","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Male","420","400","34810","31140"
"In post","2022","Animal and Plant Health Agency","Female","1725","1615","29680","26450"
"In post","2022","Animal and Plant Health Agency","Male","1180","1145","31810","28680"
"In post","2022","Attorney General's Office","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Office","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Female","5335","5185","44760","37300"
"In post","2022","Cabinet Office (excl. agencies)","Male","4595","4560","50080","42240"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Female","315","290","32110","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Male","335","325","36010","30660"
"In post","2022","Charity Commission","Female","285","265","34020","29160"
"In post","2022","Charity Commission","Male","180","175","33970","29160"
"In post","2022","Companies House","Female","660","585","29590","24500"
"In post","2022","Companies House","Male","515","505","32770","29910"
"In post","2022","Competition and Markets Authority","Female","430","410","58420","55860"
"In post","2022","Competition and Markets Authority","Male","430","425","64140","59450"
"In post","2022","Criminal Injuries Compensation Authority","Female","175","160","28100","25120"
"In post","2022","Criminal Injuries Compensation Authority","Male","145","140","26970","25120"
"In post","2022","Crown Commercial Service","Female","430","415","39040","38330"
"In post","2022","Crown Commercial Service","Male","380","375","41240","38980"
"In post","2022","Crown Office and Procurator Fiscal Service","Female","1675","1550","36040","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Male","680","660","38350","33070"
"In post","2022","Crown Prosecution Service","Female","4730","4310","39760","33120"
"In post","2022","Crown Prosecution Service","Male","2315","2255","44740","48080"
"In post","2022","Defence Electronics and Components Agency","Female","70","65","29630","26880"
"In post","2022","Defence Electronics and Components Agency","Male","365","355","29330","29470"
"In post","2022","Defence Equipment and Support","Female","3720","3465","34470","32160"
"In post","2022","Defence Equipment and Support","Male","7025","6890","37980","36080"
"In post","2022","Defence Science and Technology Laboratory","Female","1660","1555","38720","38070"
"In post","2022","Defence Science and Technology Laboratory","Male","2995","2930","42390","41460"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","2995","2900","47700","44300"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","3015","2985","49960","53160"
"In post","2022","Department for Digital, Culture, Media and Sport","Female","1100","1070","46410","46980"
"In post","2022","Department for Digital, Culture, Media and Sport","Male","915","910","47640","51730"
"In post","2022","Department for Education (excl. agencies)","Female","3795","3590","43530","40230"
"In post","2022","Department for Education (excl. agencies)","Male","2510","2485","45170","41990"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","3595","3405","41120","37070"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","2895","2860","43170","38750"
"In post","2022","Department for International Trade","Female","1390","1370","45340","40600"
"In post","2022","Department for International Trade","Male","1490","1485","47770","44030"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Female","1740","1675","45250","39600"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Male","1570","1555","46180","42140"
"In post","2022","Department for Transport (excl. agencies)","Female","1630","1570","46470","42470"
"In post","2022","Department for Transport (excl. agencies)","Male","2035","1995","50090","46710"
"In post","2022","Department for Work and Pensions (excl. agencies)","Female","59040","50965","27510","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Male","32415","31135","29130","27570"
"In post","2022","Department of Health and Social Care (excl. agencies)","Female","2640","2530","46650","41320"
"In post","2022","Department of Health and Social Care (excl. agencies)","Male","1430","1410","48960","49530"
"In post","2022","Disclosure Scotland","Female","180","165","29370","23230"
"In post","2022","Disclosure Scotland","Male","175","170","28930","23230"
"In post","2022","Driver and Vehicle Licensing Agency","Female","3800","3170","24500","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Male","2560","2470","29050","21840"
"In post","2022","Driver and Vehicle Standards Agency","Female","1510","1385","28990","26780"
"In post","2022","Driver and Vehicle Standards Agency","Male","3415","3260","29860","27930"
"In post","2022","Education and Skills Funding Agency","Female","1065","1010","40330","36780"
