"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","AA/AO","AO","120","105","24510","24250"
"In post","2022","Asian","Bedfordshire and Hertfordshire","EO","EO","255","240","28550","28990"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","G6/G7","G7","30","30","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SEO/HEO","HEO","70","65","35410","35780"
"In post","2022","Asian","Bedfordshire and Hertfordshire","SEO/HEO","SEO","45","45","43660","41970"
"In post","2022","Asian","Bedfordshire and Hertfordshire","Unknown","Unknown","35","30","27620","24800"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","25","25","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","170","145","24500","22760"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","250","230","28790","29030"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","35","30","57280","55600"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","70","70","34970","34280"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","50","50","42140","42000"
"In post","2022","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","35","30","27460","24090"
"In post","2022","Asian","Cheshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","AA/AO","AO","30","25","[c]","[c]"
"In post","2022","Asian","Cheshire","EO","EO","30","30","27770","27570"
"In post","2022","Asian","Cheshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Cheshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","AA/AO","AO","245","215","22010","21260"
"In post","2022","Asian","Derbyshire and Nottinghamshire","EO","EO","250","235","26990","26820"
"In post","2022","Asian","Derbyshire and Nottinghamshire","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","G6/G7","G7","50","50","53280","54690"
"In post","2022","Asian","Derbyshire and Nottinghamshire","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Derbyshire and Nottinghamshire","SEO/HEO","HEO","195","190","32840","33370"
"In post","2022","Asian","Derbyshire and Nottinghamshire","SEO/HEO","SEO","80","75","40000","40180"
"In post","2022","Asian","Derbyshire and Nottinghamshire","Unknown","Unknown","30","25","31990","30210"
"In post","2022","Asian","Devon","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Asian","Devon","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Asian","Devon","EO","EO","20","20","[c]","[c]"
"In post","2022","Asian","Devon","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Asian","Devon","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Devon","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Devon","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Devon","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","EO","EO","15","15","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Dorset and Somerset","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","AA/AO","AA","20","20","[c]","[c]"
"In post","2022","Asian","East Anglia","AA/AO","AO","165","135","22300","21680"
"In post","2022","Asian","East Anglia","EO","EO","105","95","26840","26930"
"In post","2022","Asian","East Anglia","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Asian","East Anglia","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Anglia","SEO/HEO","HEO","40","35","33450","32690"
