"Status","Year","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Female","190","170","20420","20890"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AA","Male","200","190","20500","20890"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Female","1970","1715","22140","21260"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","AO","Male","1560","1495","23890","21760"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Female","2200","1960","27020","27130"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","EO","Male","1540","1490","27470","26900"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Female","165","160","67020","67160"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G6","Male","150","145","70080","67910"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Female","520","490","54090","54160"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","G7","Male","520","505","55420","55210"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Female","1280","1195","32820","33320"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","Male","1125","1095","33330","33370"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Female","40","40","91310","87400"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","Male","35","35","94710","87490"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Female","825","780","41220","40520"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","Male","610","595","41630","40520"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Female","585","515","28980","28200"
"In post","2022","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","Male","190","175","30970","28410"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Female","190","170","20020","19200"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","Male","120","115","20220","20890"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Female","1445","1230","22070","21260"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","Male","980","945","23940","22200"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","Female","1000","890","27340","27570"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","Male","805","780","27970","27570"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","Female","20","15","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","Male","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","Female","110","100","54140","52730"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","Male","80","75","56320","55210"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","Female","305","280","32990","32470"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","Male","295","280","34860","33840"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","Female","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","Female","180","170","42400","40520"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","Male","155","150","44060","43670"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Female","450","410","29350","28200"
"In post","2022","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","Male","120","115","30430","28200"
"In post","2022","East Midlands (England)","Lincolnshire","AA","Female","145","135","20130","19810"
"In post","2022","East Midlands (England)","Lincolnshire","AA","Male","170","165","19970","19810"
"In post","2022","East Midlands (England)","Lincolnshire","AO","Female","550","495","22090","21260"
"In post","2022","East Midlands (England)","Lincolnshire","AO","Male","450","435","24790","24260"
"In post","2022","East Midlands (England)","Lincolnshire","EO","Female","400","365","27340","27570"
"In post","2022","East Midlands (England)","Lincolnshire","EO","Male","350","335","28150","27570"
"In post","2022","East Midlands (England)","Lincolnshire","G6","Female","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire","G6","Male","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire","G7","Female","35","35","53410","50570"
"In post","2022","East Midlands (England)","Lincolnshire","G7","Male","50","50","56180","55270"
"In post","2022","East Midlands (England)","Lincolnshire","HEO","Female","175","165","32820","32870"
"In post","2022","East Midlands (England)","Lincolnshire","HEO","Male","215","210","33890","33300"
"In post","2022","East Midlands (England)","Lincolnshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Lincolnshire","SEO","Female","90","85","42440","40580"
"In post","2022","East Midlands (England)","Lincolnshire","SEO","Male","140","135","42980","41960"
"In post","2022","East Midlands (England)","Lincolnshire","Unknown","Female","160","150","29850","28200"
"In post","2022","East Midlands (England)","Lincolnshire","Unknown","Male","50","50","31210","28200"
"In post","2022","East of England","Bedfordshire and Hertfordshire","AA","Female","115","100","20740","21650"
"In post","2022","East of England","Bedfordshire and Hertfordshire","AA","Male","130","130","21420","21790"
"In post","2022","East of England","Bedfordshire and Hertfordshire","AO","Female","545","490","24660","23770"
"In post","2022","East of England","Bedfordshire and Hertfordshire","AO","Male","400","390","27390","28140"
"In post","2022","East of England","Bedfordshire and Hertfordshire","EO","Female","945","860","28850","29290"
"In post","2022","East of England","Bedfordshire and Hertfordshire","EO","Male","665","640","29290","29290"
"In post","2022","East of England","Bedfordshire and Hertfordshire","G6","Female","55","55","70780","68500"
"In post","2022","East of England","Bedfordshire and Hertfordshire","G6","Male","60","55","70310","68500"
"In post","2022","East of England","Bedfordshire and Hertfordshire","G7","Female","155","145","57770","55740"
"In post","2022","East of England","Bedfordshire and Hertfordshire","G7","Male","140","140","58200","56820"
"In post","2022","East of England","Bedfordshire and Hertfordshire","HEO","Female","310","295","35150","34680"
"In post","2022","East of England","Bedfordshire and Hertfordshire","HEO","Male","315","310","35610","35820"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SCS level","Female","20","20","[c]","[c]"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SCS level","Male","20","20","[c]","[c]"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SEO","Female","230","215","43970","43020"
"In post","2022","East of England","Bedfordshire and Hertfordshire","SEO","Male","190","190","44030","44500"
"In post","2022","East of England","Bedfordshire and Hertfordshire","Unknown","Female","325","300","29590","28200"
