"Status","Year","Age","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Finance","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","HM Revenue and Customs (excl. agencies)","Outside London","10","10","21250","21250"
"In post","2022","16-19","Finance","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Finance","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Grants Management","Rural Payments Agency","Outside London","10","10","21070","21300"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","London","10","10","[c]","[c]"
"In post","2022","16-19","Legal","Crown Prosecution Service","Outside London","25","25","21540","22200"
"In post","2022","16-19","Legal","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Animal and Plant Health Agency","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Crown Office and Procurator Fiscal Service","Outside London","10","10","21050","21050"
"In post","2022","16-19","No function","Defence Electronics and Components Agency","Outside London","15","15","17490","17450"
"In post","2022","16-19","No function","Defence Science and Technology Laboratory","Outside London","10","10","18660","19870"
"In post","2022","16-19","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","25170","25170"
"In post","2022","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Department for Work and Pensions (excl. agencies)","Outside London","110","105","22870","21260"
"In post","2022","16-19","No function","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Driver and Vehicle Licensing Agency","Outside London","75","60","19130","18310"
"In post","2022","16-19","No function","Driver and Vehicle Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","HM Courts and Tribunals Service","Outside London","20","20","20700","20970"
"In post","2022","16-19","No function","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Prison and Probation Service","London","10","10","[c]","[c]"
"In post","2022","16-19","No function","HM Prison and Probation Service","Outside London","155","155","23000","23140"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","HM Revenue and Customs (excl. agencies)","Outside London","110","110","21340","21250"
"In post","2022","16-19","No function","HM Treasury (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","Scottish Courts and Tribunals Service","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","No function","Scottish Prison Service","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","London","5","5","[c]","[c]"
"In post","2022","16-19","No function","UK Health Security Agency","Outside London","10","10","20500","19880"
"In post","2022","16-19","No function","UK Statistics Authority","Outside London","15","10","19490","19860"
"In post","2022","16-19","No function","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Defence Equipment and Support","Outside London","90","90","18390","18030"
"In post","2022","16-19","Project Delivery","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","Submarine Delivery Agency","Outside London","15","15","18160","17140"
"In post","2022","16-19","Property","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","FCDO Services","Outside London","15","15","19130","16630"
"In post","2022","16-19","Property","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Valuation Office Agency","Outside London","15","15","24780","25000"
"In post","2022","16-19","Security","Cabinet Office (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","16-19","Security","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","London","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Home Office","Outside London","45","45","22700","21680"
"In post","2022","16-19","Unknown","Ministry of Defence (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Royal Fleet Auxiliary","Unknown","35","35","17940","16450"
"In post","2022","16-19","Unknown","Scottish Government (excl. agencies)","Outside London","30","30","22550","21050"
"In post","2022","16-19","Unknown","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Social Security Scotland","Outside London","20","20","21450","21050"
"In post","2022","16-19","Unknown","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office (excl. agencies)","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","75","75","25940","25460"
"In post","2022","20-29","Analysis","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Companies House","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Competition and Markets Authority","London","30","30","41180","34640"
"In post","2022","20-29","Analysis","Defence Science and Technology Laboratory","Outside London","130","130","31060","29230"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","135","135","36760","33880"
"In post","2022","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","London","75","75","43150","38020"
"In post","2022","20-29","Analysis","Department for Digital, Culture, Media and Sport","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Education (excl. agencies)","London","20","20","43660","45250"
"In post","2022","20-29","Analysis","Department for Education (excl. agencies)","Outside London","45","45","33920","32870"
"In post","2022","20-29","Analysis","Department for International Trade","London","145","145","37510","31800"
"In post","2022","20-29","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","95","90","40440","34710"
"In post","2022","20-29","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","10","10","33400","30190"
"In post","2022","20-29","Analysis","Department for Transport (excl. agencies)","London","150","150","40130","34710"
"In post","2022","20-29","Analysis","Department for Transport (excl. agencies)","Outside London","10","10","36730","35320"
"In post","2022","20-29","Analysis","Department for Work and Pensions (excl. agencies)","London","115","115","37660","36650"
"In post","2022","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","145","145","31150","31990"
"In post","2022","20-29","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Department of Health and Social Care (excl. agencies)","London","120","120","42420","40650"
"In post","2022","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","30","30","37650","32790"
"In post","2022","20-29","Analysis","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Food Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Government Actuary's Department","London","45","45","38990","36590"
"In post","2022","20-29","Analysis","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Health and Safety Executive","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","HM Revenue and Customs (excl. agencies)","London","150","150","41150","37930"
"In post","2022","20-29","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","150","150","35800","33370"
"In post","2022","20-29","Analysis","Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Intellectual Property Office","Outside London","10","10","33840","30770"
"In post","2022","20-29","Analysis","Medicines and Healthcare Products Regulatory Agency","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Ministry of Defence (excl. agencies)","London","60","60","39360","38500"
"In post","2022","20-29","Analysis","Ministry of Defence (excl. agencies)","Outside London","55","55","31640","29670"
"In post","2022","20-29","Analysis","Ministry of Justice (excl. agencies)","London","150","150","40750","35200"
"In post","2022","20-29","Analysis","Ministry of Justice (excl. agencies)","Outside London","30","30","31720","30450"
"In post","2022","20-29","Analysis","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Office for Budget Responsibility","London","15","15","38210","35610"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","20","15","32000","32010"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","London","45","45","34290","31000"
"In post","2022","20-29","Analysis","Office of Gas and Electricity Markets","Outside London","15","15","29680","30000"
"In post","2022","20-29","Analysis","Office of Rail and Road","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Office of Rail and Road","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","Rural Payments Agency","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","The Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","The Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Debt Management Office","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","UK Export Finance","London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Analysis","UK Statistics Authority","London","115","115","35560","33710"
"In post","2022","20-29","Analysis","UK Statistics Authority","Outside London","620","615","32490","30710"
"In post","2022","20-29","Analysis","Valuation Office Agency","London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Valuation Office Agency","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","London","10","10","35120","28000"
"In post","2022","20-29","Analysis","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Analysis","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Animal and Plant Health Agency","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Cabinet Office (excl. agencies)","London","90","85","52820","54700"
"In post","2022","20-29","Commercial","Cabinet Office (excl. agencies)","Outside London","40","40","47380","49700"
"In post","2022","20-29","Commercial","Cabinet Office (excl. agencies)","Unknown","15","15","34240","32000"
"In post","2022","20-29","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Crown Commercial Service","London","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Crown Commercial Service","Outside London","70","70","31460","30420"
"In post","2022","20-29","Commercial","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Crown Prosecution Service","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Defence Equipment and Support","Outside London","70","70","29010","27140"
"In post","2022","20-29","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Defence Science and Technology Laboratory","Outside London","25","25","24990","23490"
"In post","2022","20-29","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","15","15","39660","37110"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","London","15","15","36870","34020"
"In post","2022","20-29","Commercial","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Education (excl. agencies)","Outside London","55","55","31910","29360"
"In post","2022","20-29","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","15","15","33170","35900"
"In post","2022","20-29","Commercial","Department for International Trade","London","15","15","34290","31800"
"In post","2022","20-29","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","London","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Department for Transport (excl. agencies)","London","45","45","39910","34710"
"In post","2022","20-29","Commercial","Department for Transport (excl. agencies)","Outside London","10","10","27290","26130"
"In post","2022","20-29","Commercial","Department of Health and Social Care (excl. agencies)","London","80","80","45040","40650"
"In post","2022","20-29","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","25","25","34460","30320"
"In post","2022","20-29","Commercial","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Driver and Vehicle Licensing Agency","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Driver and Vehicle Standards Agency","Outside London","15","15","28290","26130"
"In post","2022","20-29","Commercial","FCDO Services","Outside London","10","10","[c]","[c]"
"In post","2022","20-29","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
