"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","AO","35","30","23280","21260"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","EO","EO","45","40","28420","27570"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","AA/AO","AA","40","40","21950","22140"
"In post","2022","Declared disabled","Angus and Dundee City","AA/AO","AO","125","110","21470","21260"
"In post","2022","Declared disabled","Angus and Dundee City","EO","EO","85","75","27530","27570"
"In post","2022","Declared disabled","Angus and Dundee City","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","AA/AO","AA","10","5","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","EO","EO","70","60","30810","31060"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barnet","AA/AO","AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Barnet","EO","EO","40","35","30640","31060"
"In post","2022","Declared disabled","Barnet","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnet","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barnet","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnet","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnet","Unknown","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","AA/AO","AA","20","20","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","AA/AO","AO","160","140","22480","21260"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","EO","EO","150","130","27520","27570"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","35","30","33160","32250"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","Unknown","65","60","29300","28200"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","60","55","23300","21380"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","270","250","24830","25820"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","50","50","67780","66960"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","130","125","52010","53530"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","330","315","31180","32120"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","355","340","40970","40580"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","190","180","37410","34010"
"In post","2022","Declared disabled","Bedford","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedford","AA/AO","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bedford","EO","EO","35","30","27690","27570"
"In post","2022","Declared disabled","Bedford","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Bedford","SEO/HEO","HEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Bedford","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Belfast","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","AA/AO","AO","75","65","21580","21680"
"In post","2022","Declared disabled","Belfast","EO","EO","70","65","26980","26820"
"In post","2022","Declared disabled","Belfast","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Belfast","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","SEO/HEO","HEO","65","60","33240","33370"
"In post","2022","Declared disabled","Belfast","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","AA/AO","AO","90","80","27440","25110"
"In post","2022","Declared disabled","Berkshire","EO","EO","100","90","30320","29290"
"In post","2022","Declared disabled","Berkshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
