"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2022","Commercial","AA/AO","AA","Male","25","20","[c]","[c]"
"In post","2022","Commercial","AA/AO","AO","Female","160","145","22520","21790"
"In post","2022","Commercial","AA/AO","AO","Male","125","120","22670","21840"
"In post","2022","Commercial","EO","EO","Female","560","525","26440","26350"
"In post","2022","Commercial","EO","EO","Male","345","335","26520","26520"
"In post","2022","Commercial","G6/G7","G6","Female","155","150","67430","65530"
"In post","2022","Commercial","G6/G7","G6","Male","235","230","68530","67150"
"In post","2022","Commercial","G6/G7","G7","Female","435","415","53110","52610"
"In post","2022","Commercial","G6/G7","G7","Male","405","400","53510","53360"
"In post","2022","Commercial","SCS level","SCS level","Female","45","45","86770","78560"
"In post","2022","Commercial","SCS level","SCS level","Male","60","60","87180","81040"
"In post","2022","Commercial","SEO/HEO","HEO","Female","900","850","32390","32790"
"In post","2022","Commercial","SEO/HEO","HEO","Male","645","635","32730","32790"
"In post","2022","Commercial","SEO/HEO","SEO","Female","1035","990","40590","40520"
"In post","2022","Commercial","SEO/HEO","SEO","Male","865","850","41240","40650"
"In post","2022","Commercial","Unknown","Unknown","Female","95","95","37610","37400"
"In post","2022","Commercial","Unknown","Unknown","Male","100","100","42150","39860"
"In post","2022","Communications","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2022","Communications","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2022","Communications","AA/AO","AO","Female","110","100","22450","21830"
"In post","2022","Communications","AA/AO","AO","Male","85","85","22500","21830"
"In post","2022","Communications","EO","EO","Female","350","330","27670","27270"
"In post","2022","Communications","EO","EO","Male","255","245","27830","27350"
"In post","2022","Communications","G6/G7","G6","Female","185","175","66980","66230"
"In post","2022","Communications","G6/G7","G6","Male","135","135","67590","66610"
"In post","2022","Communications","G6/G7","G7","Female","475","455","54890","54570"
"In post","2022","Communications","G6/G7","G7","Male","290","290","55140","54540"
