"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","35","30","23420","23770"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","Unknown","10","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","60","55","59100","60710"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","Unknown","20","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
